Haplotype	4-mer	7-mer	10-mer	11-mer	15-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG02282.pat	402439	50064	28994	1197230	7683	16205	26613	6	AFR	1729227
HG02300.mat	330447	27432	68240	889541	0	5972	12596	1	AMR	1334227
HG02486.mat	405915	17869	63119	1249466	12771	12940	4774	5	AFR	1766853
HG02492.mat	256914	52440	158632	1009380	2560	39417	19926	6	SAS	1539268
HG02492.pat	849303	23841	76749	3390630	325210	80344	16485	7	SAS	4762561
HG02554.mat	300534	9538	30708	1164036	94752	48950	18120	7	AFR	1666637
HG02554.pat	828895	19070	3411	2278006	15365	428823	31750	3	AFR	3605319
HG02587.mat	832291	20263	1706	2259229	10242	455767	16338	3	AFR	3595835
HG02587.pat	481399	8349	139890	1206499	7681	4435	10068	5	AFR	1858320
HG02630.mat	284895	14307	47768	1102013	76828	42810	18114	7	AFR	1586734
HG02630.pat	139977	66732	10236	387770	0	8529	6808	4	AFR	620051
HG02647.mat	254900	21452	107490	953254	0	13968	9307	5	AFR	1360370
HG02647.pat	571839	8346	213246	1375365	5121	8358	11772	5	AFR	2194046
HG02666.pat	241388	3577	6824	688525	2560	18248	7843	5	AFR	968964
HG02769.mat	390286	11930	56297	1710883	25584	73169	26747	7	AFR	2294895
HG02818.mat	407973	14324	76767	2094603	25584	79309	19596	7	AFR	2718155
HG02818.pat	238668	3577	6824	681020	2560	20466	7843	5	AFR	960957
HG02953.mat	136654	3576	18762	506530	0	17372	3235	5	AFR	686128
HG02953.pat	158265	85811	11942	485207	0	9209	8157	4	AFR	758590
HG03009.mat	604994	23853	56287	1986553	2561	28145	18247	6	SAS	2720639
HG03009.pat	433111	22651	61410	1330049	89578	59638	11691	2	SAS	2008127
HG03065.mat	493634	20259	114244	1802166	133170	79509	58267	7	AFR	2701248
HG03065.pat	280114	10736	46062	769461	10257	2730	5106	1	AFR	1124465
HG03248.mat	231861	4771	0	707029	2561	40190	39365	7	AFR	1025776
HG03248.pat	233881	5964	0	720191	0	15849	56976	7	AFR	1032860
HG03371.mat	171308	1192	30707	497340	2564	2898	7726	1	AFR	713734
HG03371.pat	157603	86995	11941	524603	0	8185	5627	4	AFR	794953
HG03452.mat	460321	0	129655	1112548	17923	37873	5621	5	AFR	1763940
HG03452.pat	578655	4770	0	1621545	0	25185	11915	5	AFR	2242069
HG03456.mat	224354	20265	0	887767	30730	12800	18251	7	AFR	1194166
HG03456.pat	281499	13114	44356	1092841	94750	47415	18114	7	AFR	1592088
HG03486.mat	189689	1192	54592	519761	0	3414	7662	1	AFR	776309
HG03520.mat	361682	19079	0	1200479	2559	26065	18834	5	AFR	1628697
HG03520.pat	258262	27421	52874	1348447	2554	24194	11410	5	AFR	1725161
HG03710.mat	493571	39354	83587	1626282	0	22515	16181	6	SAS	2281489
HG03732.mat	395740	17886	54586	1187437	81893	29817	6083	2	SAS	1773441
HG03732.pat	443341	13114	17060	1669658	122905	81666	18713	7	SAS	2366456
HG03807.mat	231164	11918	5118	696062	2561	8704	38888	7	SAS	994414
HG03807.pat	496992	38159	75064	1545460	0	14830	11763	6	SAS	2182267
HG04036.mat	458883	40539	61407	1432938	0	15356	11180	6	SAS	2020302
HG04036.pat	484111	23848	49471	1363856	158690	43434	6709	2	SAS	2130118
HG04217.mat	388935	16693	51174	1166802	81893	36981	8639	2	SAS	1751116
HG04217.pat	324311	48906	58004	818177	0	9553	7660	1	SAS	1266610
HG04228.mat	317515	35777	23875	1056015	56308	49242	11684	2	SAS	1550415
NA12329.mat	247440	33372	42647	723855	0	5800	5617	6	EUR	1058730
NA12329.pat	346060	22657	61407	1140720	0	15527	15856	6	EUR	1602226
NA18534.mat	397740	44141	59710	1054657	0	5458	11714	1	EAS	1573419
NA18534.pat	546671	29797	59683	2220767	204851	72042	20890	7	EAS	3154700
NA18906.mat	153510	83427	11942	492736	0	6992	5621	4	AFR	754227
NA18939.mat	216888	23856	8530	632399	2560	4776	5104	1	EAS	894112
NA18939.pat	271956	3576	73358	677546	0	3412	805858	1	EAS	1835705
NA18989.mat	409274	41725	35815	1125505	99822	41943	10346	2	EAS	1764429
NA18989.pat	476626	25028	56294	1896806	169020	64580	18033	7	EAS	2706386
NA19036.mat	263817	4771	0	808456	2561	30682	55278	7	AFR	1165564
NA19036.pat	231189	1193	6824	666011	0	23534	12955	5	AFR	941705
NA19129.mat	372606	11929	0	1134481	0	37527	72490	7	AFR	1629032
NA19129.pat	382718	58401	30699	1135336	5122	12455	19951	6	AFR	1644681
NA19238.mat	258377	17880	69933	958288	23049	31353	34920	7	AFR	1393799
NA19238.pat	536487	13106	3411	1941934	7681	131589	22811	3	AFR	2657018
NA19239.mat	259738	15494	40935	930160	20488	31353	39012	7	AFR	1337179
NA19239.pat	301896	14302	56298	1231589	107556	44174	18843	7	AFR	1774657
NA19317.mat	407882	45307	44351	1270064	0	16716	14320	6	AFR	1798639
NA19317.pat	222332	3577	0	690275	0	11432	72153	7	AFR	999768
NA19347.mat	186267	1192	34120	512365	2564	2047	5106	1	AFR	743660
NA19347.pat	320929	11918	49474	1298929	140847	42809	16329	7	AFR	1881234
NA19384.mat	222977	10730	18765	632469	0	10898	7660	1	AFR	903498
NA19384.pat	190922	79863	6824	586233	0	8867	8180	4	AFR	880888
NA19434.mat	356257	40534	69922	1115898	0	9719	7326	6	AFR	1599655
NA19434.pat	163868	1193	11942	489657	0	15180	84253	5	AFR	766092
NA19650.mat	239320	1192	46062	621218	0	6134	3234	1	AMR	917159
NA19650.pat	134536	51252	95528	519367	0	11769	6978	6	AMR	819429
NA19705.mat	303935	3578	0	920796	2561	24683	70117	7	AFR	1325669
NA19705.pat	167250	21447	0	589078	15316	13956	4774	5	AFR	811820
NA19836.mat	392223	60789	32406	1140963	10244	14161	19963	6	AFR	1670748
NA19836.pat	267203	14306	22176	823226	0	51307	34533	7	AFR	1212750
NA19983.mat	160990	92955	17060	513253	0	9893	5620	4	AFR	799770
NA19983.pat	175826	158488	15354	477826	0	5118	10902	4	AFR	843513
NA20355.mat	260303	48868	54587	849790	0	8357	9716	6	AFR	1231620
NA20355.pat	378680	21465	0	1284916	2559	27087	23947	5	AFR	1738653
NA20509.mat	199887	8344	5118	630407	5122	15336	55431	7	EUR	919644
NA20509.pat	487413	35769	10236	1504047	0	27460	11940	6	EUR	2076864
NA20847.mat	511919	42923	69943	1607283	0	19273	7667	6	SAS	2259007
NA20847.pat	403884	36953	85288	1520004	53780	50632	30776	7	SAS	2181316
NA21487.mat	254301	16684	37517	888882	20488	24533	27078	7	AFR	1269482
