Haplotype	12-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG01573.mat	3257864	57159	36896	1	AMR	3351918
HG01573.pat	4132008	54284	10999	3	AMR	4197290
HG01596.mat	3601184	80792	20673	1	EAS	3702648
HG01890.pat	2932924	42653	657390	3	AFR	3632966
HG01891.mat	2694342	23627	6939	1	AFR	2724907
HG01928.mat	3924260	68681	32939	1	AMR	4025879
HG01952.mat	3560233	54933	13029	1	AMR	3628194
HG01978.mat	3198146	40745	30699	1	AMR	3269589
HG02004.mat	3109737	39031	27102	1	AMR	3175869
HG02011.mat	3440975	48091	14858	3	AFR	3503923
HG02018.mat	3329860	53925	47846	1	EAS	3431630
HG02018.pat	3656914	53618	10999	3	EAS	3721530
HG02059.mat	2858807	41622	28786	1	EAS	2929214
HG02059.pat	2204773	44201	19117	1	EAS	2268090
HG02071.mat	2936955	44528	28785	1	EAS	3010267
HG02080.pat	3140654	33739	30862	1	EAS	3205254
HG02106.mat	3732984	45707	19166	3	AMR	3797856
HG02106.pat	3048041	43297	22428	1	AMR	3113765
HG02109.mat	2112300	24807	19086	3	AFR	2156192
HG02282.mat	2667479	25695	6982	3	AFR	2700155
HG02282.pat	2579220	24290	13071	3	AFR	2616580
HG02293.mat	3200171	59237	32932	1	AMR	3292339
HG02293.pat	3105620	37481	24485	1	AMR	3167585
HG02300.mat	4142327	87864	18825	1	AMR	4249015
HG02300.pat	1908652	44489	15059	1	AMR	1968199
HG02486.mat	2324095	13687	8969	3	AFR	2346750
HG02492.mat	3264016	67994	24601	1	SAS	3356610
HG02554.pat	2595639	44967	36535	2	AFR	2677140
HG02559.mat	3237284	38878	21197	1	AFR	3297358
HG02559.pat	2996667	29966	31359	3	AFR	3057991
HG02587.mat	3078925	70056	9370	3	AFR	3158350
HG02587.pat	2618185	50624	40420	2	AFR	2709228
HG02615.mat	2067038	20356	20953	3	AFR	2108346
HG02615.pat	2749843	58540	21445	1	AFR	2829827
HG02630.pat	2916431	68076	56739	2	AFR	3041245
HG02647.mat	2562704	22429	4208	3	AFR	2589340
HG02666.pat	1608361	33117	36672	2	AFR	1678149
HG02717.mat	1789408	2908	15261	3	AFR	1807576
HG02769.mat	3177744	46035	25269	1	AFR	3249047
HG02769.pat	2718935	51083	37694	2	AFR	2807711
HG02809.mat	3597463	77256	10100	3	AFR	3684818
HG02809.pat	2007379	48555	49230	2	AFR	2105163
HG02818.mat	2276858	8566	15261	3	AFR	2300684
HG02818.pat	2597607	47847	45676	2	AFR	2691129
HG02886.mat	1606326	28500	34480	2	AFR	1669305
HG02953.mat	2990479	55040	81601	2	AFR	3127119
HG03009.mat	3525226	67782	32762	1	SAS	3625769
HG03065.mat	2299478	9588	17131	3	AFR	2326196
HG03098.mat	1515805	38774	26612	2	AFR	1581190
HG03248.mat	2934926	69483	92252	2	AFR	3096660
HG03371.mat	3403788	83479	18871	3	AFR	3506137
HG03452.mat	2418716	48005	52493	2	AFR	2519213
HG03452.pat	2951508	39175	25251	1	AFR	3015933
HG03453.pat	2548352	27737	19482	1	AFR	2595570
HG03456.mat	2515385	42548	55168	2	AFR	2613100
HG03516.mat	1735929	15077	20991	3	AFR	1771996
HG03516.pat	2632581	47343	46187	2	AFR	2726110
HG03520.mat	1873654	79129	43986	2	AFR	1996768
HG03520.pat	2737514	25317	21361	3	AFR	2784191
HG03579.mat	1754434	13360	20991	3	AFR	1788784
HG03683.mat	3048148	59542	22312	3	SAS	3130001
HG03683.pat	3344337	47425	13133	1	SAS	3404894
HG03710.mat	4105320	59396	17294	3	SAS	4182009
HG03732.mat	3862659	68861	19207	1	SAS	3950726
HG03807.mat	4395384	81157	17177	1	SAS	4493717
HG03807.pat	3173496	88663	13129	1	SAS	3275287
HG03927.mat	3792657	46243	10501	3	SAS	3849400
HG03927.pat	2647016	34754	31996	1	SAS	2713765
HG04036.mat	3728782	68462	35953	3	SAS	3833196
HG04036.pat	3426581	70369	21214	1	SAS	3518163
HG04217.mat	3144719	52584	27087	1	SAS	3224389
HG04217.pat	2499006	42289	13071	3	SAS	2554365
HG04228.mat	2955502	48454	31586	1	SAS	3035541
NA12329.mat	2850591	47088	27278	1	EUR	2924956
NA12329.pat	4383028	67778	17047	3	EUR	4467852
NA18534.mat	3327645	61803	27623	1	EAS	3417070
NA18939.mat	3934562	59758	25070	3	EAS	4019389
NA18939.pat	3716499	46911	39048	1	EAS	3802457
NA18989.mat	2581183	36111	25030	1	EAS	2642323
NA19036.mat	2241880	20073	35279	2	AFR	2297231
NA19036.pat	2957622	29966	39646	3	AFR	3027233
NA19129.mat	2951427	24148	23189	3	AFR	2998763
NA19129.pat	2205030	54044	30591	3	AFR	2289664
NA19238.mat	2651149	43755	58890	2	AFR	2753793
NA19238.pat	2920570	37859	17288	3	AFR	2975716
NA19239.mat	2581182	35172	48901	2	AFR	2665254
NA19317.mat	3210592	35464	23224	1	AFR	3269279
NA19331.mat	2809485	49530	9370	3	AFR	2868384
NA19347.mat	3381564	57290	10531	3	AFR	3449384
NA19384.mat	2054693	4794	17132	3	AFR	2076618
NA19434.mat	3132365	28226	229043	3	AFR	3389633
NA19434.pat	3167419	52575	12987	3	AFR	3232980
NA19650.mat	3074881	55481	13104	3	AMR	3143465
NA19705.mat	2480469	15404	20990	3	AFR	2516862
NA19836.mat	2961635	43647	23345	1	AFR	3028626
NA19836.pat	2904100	54264	27115	1	AFR	2985478
NA19983.mat	3064595	32680	55653	3	AFR	3152927
NA19983.pat	2887775	16268	29193	3	AFR	2933235
NA20355.mat	2540034	47701	56664	2	AFR	2644398
NA20355.pat	3212634	27059	29116	1	AFR	3268808
NA20509.mat	3432671	51320	14855	3	EUR	3498845
NA20847.mat	2984312	42789	24380	1	SAS	3051480
NA20847.pat	3187887	57550	29004	1	SAS	3274440
NA21487.mat	3150839	59266	26717	1	AFR	3236821
NA21487.pat	2569053	19680	37402	3	AFR	2626134
