Haplotype	2-mer	4-mer	6-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG02647.mat	317446	1479037	56005	19388	29035	3	AFR	1900910
HG02647.pat	384039	1311077	124461	19038	33274	14	AFR	1871888
HG02666.mat	263310	524753	12232	5101	21930	7	AFR	827325
HG02666.pat	442430	1364063	130598	15135	22797	14	AFR	1975022
HG02769.mat	630911	1824345	24447	26009	38310	11	AFR	2544021
HG02769.pat	386004	1122277	155961	15464	23365	19	AFR	1703070
HG02809.mat	444759	1689599	159117	5947	17727	12	AFR	2317148
HG02809.pat	475897	1486405	181549	8489	24944	12	AFR	2177283
HG02818.mat	351724	1558582	70244	19389	31952	3	AFR	2031890
HG02818.pat	471220	1422553	290344	33795	46883	17	AFR	2264794
HG02953.mat	462073	1349157	293360	36350	35708	17	AFR	2176647
HG02953.pat	331656	1353288	93662	16824	44261	10	AFR	1839690
HG03009.mat	406948	1183936	229291	20371	26582	15	SAS	1867127
HG03009.pat	407101	1630403	128289	26510	24759	1	SAS	2217061
HG03065.mat	318141	1481751	63123	18025	29056	3	AFR	1910095
HG03065.pat	543898	1528601	335146	32271	35418	17	AFR	2475333
HG03098.mat	242132	956259	131313	12907	35383	17	AFR	1377993
HG03098.pat	227124	1036630	81440	9179	41689	10	AFR	1396061
HG03248.mat	550715	1584822	363632	31415	46694	17	AFR	2577277
HG03248.pat	476371	1413729	298458	34996	43788	17	AFR	2267341
HG03371.mat	494299	1300105	272981	28188	37873	17	AFR	2133445
HG03371.pat	558140	1647636	267020	26173	25040	18	AFR	2524008
HG03452.mat	256412	1132278	17327	5435	31779	9	AFR	1443230
HG03452.pat	382738	1319249	110163	17682	34976	14	AFR	1864807
HG03456.mat	416249	1285251	273985	25823	43761	17	AFR	2045068
HG03456.pat	721308	2287204	37709	47828	40159	11	AFR	3134207
HG03492.pat	465106	1956854	82453	26181	49845	5	SAS	2580438
HG03516.pat	239459	1001160	21411	5775	77025	9	AFR	1344829
HG03520.mat	451491	1496591	154023	7133	215897	12	AFR	2325134
HG03520.pat	475952	1383200	295422	21069	44549	17	AFR	2220191
HG03683.mat	450934	1738523	115052	24281	35869	4	SAS	2364658
HG03683.pat	468086	1644081	293510	19738	417904	19	SAS	2843318
HG03710.mat	417902	1555108	80430	18514	47736	5	SAS	2119689
HG03710.pat	482841	1599975	85523	10357	50973	5	SAS	2229668
HG03732.mat	324329	1488452	81460	17003	36551	4	SAS	1947794
HG03732.pat	476260	1636677	134401	22422	48894	5	SAS	2318653
HG03807.mat	544228	1825013	78429	15622	44960	5	SAS	2508251
HG03807.pat	546641	1875902	87531	16141	97917	5	SAS	2624131
HG03927.mat	229501	1254603	113012	18859	69503	4	SAS	1685477
HG03927.pat	413182	1527257	79418	13077	46224	5	SAS	2079157
HG04036.mat	424114	1247090	244619	9872	19774	19	SAS	1945468
HG04036.pat	414306	1437537	89601	8502	43140	5	SAS	1993085
HG04217.mat	413523	1415113	77354	11891	50572	5	SAS	1968452
HG04217.pat	363337	1517044	69229	23091	50850	4	SAS	2023550
HG04228.mat	470001	1820246	98762	26839	37874	4	SAS	2453721
HG04228.pat	362920	1417859	31573	15125	59333	5	SAS	1886809
NA12329.mat	384700	1500752	102845	25993	30201	1	EUR	2044490
NA12329.pat	417954	1640669	157815	23963	27504	1	EUR	2267904
NA18534.mat	657478	2028246	77375	18005	57978	5	EAS	2839081
NA18534.pat	421698	1330735	110990	11379	50304	5	EAS	1925105
NA18906.mat	326378	826542	25506	23802	22106	7	AFR	1224333
NA18906.pat	349038	1214603	55010	15958	56473	10	AFR	1691081
NA18939.mat	492591	1625842	93680	17655	42310	5	EAS	2272077
NA18989.mat	443818	1742604	126269	24120	36512	4	EAS	2373322
NA18989.pat	295314	1194209	100782	16647	43433	6	EAS	1650384
NA19036.mat	474221	1514936	169322	7133	24943	12	AFR	2190554
NA19036.pat	480794	1365449	337124	27845	38414	17	AFR	2249625
NA19129.mat	412958	1371515	103045	15809	22911	14	AFR	1926237
NA19129.pat	356261	2330007	59107	1697	21903	16	AFR	2768974
NA19238.mat	417942	1519796	82459	14940	59442	10	AFR	2094578
NA19238.pat	1067600	2938906	48903	62104	44799	11	AFR	4162311
NA19239.mat	439283	1029692	259779	22590	39409	17	AFR	1790752
NA19239.pat	516040	1491936	350435	33974	41069	17	AFR	2433453
NA19317.mat	362354	2448983	58086	1697	21899	16	AFR	2893018
NA19317.pat	458125	1697888	103830	25828	26647	4	AFR	2312317
NA19331.mat	740218	2210291	379136	34990	49859	15	AFR	3414493
NA19331.pat	405342	1311331	253850	21257	36894	19	AFR	2028673
NA19347.mat	594097	1654424	296593	17334	28865	18	AFR	2591312
NA19384.mat	460733	1400106	317764	27677	38411	17	AFR	2244690
NA19384.pat	429158	1351192	166285	22784	32316	14	AFR	2001734
NA19434.mat	258806	1941254	29540	25289	59305	8	AFR	2314193
NA19434.pat	490996	1611445	126452	5433	47426	13	AFR	2281751
NA19705.mat	426449	1294778	298393	24957	37056	17	AFR	2081632
NA19705.pat	359170	1420701	86536	14624	45728	10	AFR	1926758
NA19836.mat	571070	1371474	383311	21435	23073	19	AFR	2370362
NA19836.pat	479665	1742697	107904	20870	55176	10	AFR	2406311
NA19983.mat	447064	1488480	159102	2206	26241	12	AFR	2123092
NA19983.pat	507583	1571484	250716	22095	24364	18	AFR	2376241
NA20355.mat	547606	1677332	141757	15959	42364	14	AFR	2425017
NA20355.pat	559999	1884047	231537	16330	27539	14	AFR	2719451
NA20509.mat	360242	1343863	40750	20375	51249	5	EUR	1816478
NA20509.pat	234531	1018843	82479	7823	57289	5	EUR	1400964
NA20847.mat	434566	1492640	84524	11553	55054	5	SAS	2078336
NA20847.pat	465592	1759066	101816	26503	43417	4	SAS	2396393
