Haplotype	2-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG03453.pat	4042540	0	200316	3	AFR	4242855
HG03456.mat	2706618	0	131253	8	AFR	2837870
HG03456.pat	4812870	0	586055	8	AFR	5398924
HG03492.mat	3805566	0	212787	13	SAS	4018352
HG03492.pat	2711540	508	1271622	2	SAS	3983669
HG03516.mat	3420309	0	151815	5	AFR	3572123
HG03520.mat	3845329	0	171846	5	AFR	4017174
HG03520.pat	2529967	0	1003457	2	AFR	3533423
HG03540.mat	3262283	508	71263	15	AFR	3334053
HG03579.mat	3466584	0	131807	5	AFR	3598390
HG03579.pat	2311768	1022	166306	11	AFR	2479095
HG03683.mat	2304955	0	1190495	2	SAS	3495449
HG03683.pat	4459855	0	78717	1	SAS	4538571
HG03710.pat	3545329	0	223906	12	SAS	3769234
HG03732.mat	3215690	0	251593	12	SAS	3467282
HG03732.pat	3159445	0	212415	12	SAS	3371859
HG03807.mat	3788133	1016	105738	15	SAS	3894886
HG03807.pat	3197891	0	230165	12	SAS	3428055
HG03927.pat	6424072	0	89074	1	SAS	6513145
HG04036.mat	3791358	1016	68036	15	SAS	3860409
HG04036.pat	2954878	0	152052	12	SAS	3106929
HG04217.mat	6015965	0	78337	1	SAS	6094301
HG04217.pat	1519719	0	209565	12	SAS	1729283
HG04228.mat	3987027	1022	206102	10	SAS	4194150
NA12329.mat	3667902	0	227326	13	EUR	3895227
NA12329.pat	2667917	511	157004	9	EUR	2825431
NA18534.mat	3472263	0	206230	12	EAS	3678492
NA18534.pat	4204887	0	173688	9	EAS	4378574
NA18906.pat	4334908	0	223872	9	AFR	4558779
NA18939.mat	3196280	509	168196	12	EAS	3364984
NA18939.pat	3670963	0	614315	12	EAS	4285277
NA18989.mat	4847201	511	204786	9	EAS	5052497
NA18989.pat	3083473	0	1153812	2	EAS	4237284
NA19036.mat	3219101	511	197473	9	AFR	3417084
NA19036.pat	3865577	0	348566	6	AFR	4214142
NA19129.mat	3206874	511	222303	9	AFR	3429687
NA19129.pat	3749355	1022	193454	11	AFR	3943830
NA19238.mat	3919245	511	191753	11	AFR	4111508
NA19238.pat	2173399	0	105563	8	AFR	2278961
NA19239.mat	2244796	0	775984	8	AFR	3020779
NA19239.pat	3983832	0	232984	3	AFR	4216815
NA19317.mat	1832165	1014	189265	7	AFR	2022443
NA19317.pat	2481950	0	999786	2	AFR	3481735
NA19331.mat	2501713	0	1027485	2	AFR	3529197
NA19331.pat	2625121	0	1508525	2	AFR	4133645
NA19347.mat	3565859	1022	151184	11	AFR	3718064
NA19347.pat	3086190	1014	197204	7	AFR	3284407
NA19384.mat	3255855	507	183810	7	AFR	3440171
NA19384.pat	3403291	508	182515	15	AFR	3586313
NA19434.mat	3197980	511	198824	9	AFR	3397314
NA19434.pat	1665545	0	165703	4	AFR	1831247
NA19650.mat	2045418	1022	150886	9	AMR	2197325
NA19650.pat	2813924	511	125583	9	AMR	2940017
NA19705.mat	2515655	0	981724	2	AFR	3497378
NA19705.pat	3456843	0	262623	12	AFR	3719465
NA19836.pat	4018378	0	230334	9	AFR	4248711
NA19983.mat	3886626	511	185188	9	AFR	4072324
NA19983.pat	4181531	0	325332	6	AFR	4506862
NA20129.pat	2558506	0	974842	2	AFR	3533347
NA20355.mat	2594040	511	146181	9	AFR	2740731
NA20355.pat	3312496	0	220604	3	AFR	3533099
NA20509.mat	2018967	511	112292	9	EUR	2131769
NA20509.pat	3344165	0	203502	13	EUR	3547666
NA20847.mat	3906217	511	165864	9	SAS	4072591
NA20847.pat	4285971	1022	298434	9	SAS	4585426
NA21309.mat	3447396	1533	74974	8	AFR	3523902
NA21309.pat	3658672	0	166160	5	AFR	3824831
NA21487.mat	1670944	0	188120	4	AFR	1859063
NA21487.pat	2717528	0	1507318	2	AFR	4224845
