Haplotype	8-mer	10-mer	12-mer	14-mer	16-mer	18-mer	20-mer	22-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG04228.pat	457960	728775	644265	635309	704240	214096	197133	242957	592016	111343	4	SAS	4528093
NA12329.mat	622420	898679	848122	732775	834797	266042	207362	205630	675068	187704	4	EUR	5478598
NA12329.pat	549010	835782	760472	680401	712427	275246	237932	235529	683215	177848	4	EUR	5147861
NA18534.mat	428131	676144	679011	571019	807590	232473	288919	224318	626870	106598	3	EAS	4641072
NA18534.pat	411750	563954	536225	461487	636185	204891	197145	153227	404055	108036	3	EAS	3676954
NA18906.mat	418631	764670	901417	806553	636336	367070	305928	385189	759969	65665	7	AFR	5411427
NA19036.mat	388769	664349	811633	761376	609098	302780	193745	209383	576622	98194	7	AFR	4615948
NA19036.pat	591119	1133027	786874	708707	614362	354741	169902	130863	488938	108149	6	AFR	5086681
NA19129.pat	331661	613394	658672	647146	421491	235502	207318	186973	440751	79735	7	AFR	3822642
NA19317.mat	216053	577515	540336	806459	464891	474045	186944	164505	395134	351380	11	AFR	4177261
NA19331.mat	581611	849394	733995	644698	638972	189648	183513	231739	562104	73165	4	AFR	4688838
NA19331.pat	679544	981843	948179	949277	1006146	357821	292328	235511	737108	191320	4	AFR	6379076
NA19347.mat	366918	569169	760601	611412	511089	244721	227690	100943	458244	48419	6	AFR	3899205
NA19434.pat	463550	623447	982810	789793	782847	382216	190341	171983	750289	178569	6	AFR	5315844
NA19650.mat	324859	482490	456812	423492	592853	189638	163154	127095	418040	45506	3	AMR	3223938
NA19705.mat	372444	606509	658542	511527	516681	241688	197074	153298	402427	34646	9	AFR	3694835
NA19983.mat	633262	890137	811475	699450	764027	229424	207300	213068	761234	150864	4	AFR	5360240
NA19983.pat	459253	951154	1070433	1234636	690602	755432	316087	209395	704863	434789	11	AFR	6826643
NA20355.pat	334384	649053	695403	659003	655372	311985	288895	160812	506993	71410	7	AFR	4333309
NA20509.mat	589798	745898	721747	618619	769573	266055	207331	190631	608507	148802	4	EUR	4866960
