Haplotype	6-mer	8-mer	10-mer	12-mer	14-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG03065.pat	4210252	39493	153159	30631	23815	77018	22051	4	AFR	4556418
HG03248.mat	2582776	24501	47626	24499	33341	48576	5171	7	AFR	2766489
HG03248.pat	2383064	83049	212698	28590	28576	72147	20652	4	AFR	2828775
HG03371.mat	1716689	36769	91878	10208	23812	45472	26235	7	AFR	1951062
HG03371.pat	2166329	55835	90166	22452	14291	38496	24400	4	AFR	2411968
HG03452.pat	2342812	23138	56148	14294	14292	64647	35184	7	AFR	2550514
HG03453.mat	1466984	19047	78266	30621	35725	82032	5434	7	AFR	1718108
HG03456.mat	1530757	73517	78264	71485	16675	73166	6110	6	AFR	1849973
HG03456.pat	3242215	96659	221098	40821	26192	76688	341	3	AFR	3704013
HG03486.mat	525068	322723	420241	830987	116678	379174	33690	1	AFR	2628560
HG03492.pat	3169856	25865	146356	18386	26194	62172	23334	4	SAS	3472162
HG03516.pat	2022509	31302	45931	22460	28579	60299	5264	7	AFR	2216343
HG03520.mat	3000098	77606	187083	32650	23813	66125	341	3	AFR	3387715
HG03520.pat	2171532	38111	202492	24501	26192	74711	19901	4	AFR	2557439
HG03540.pat	2287641	20417	39103	14292	14291	39584	10528	7	AFR	2425855
HG03683.mat	2877593	16336	127630	26550	28576	75969	40745	4	SAS	3193398
HG03683.pat	2747835	29954	151454	28594	42864	70701	22507	4	SAS	3093908
HG03710.mat	2851005	121201	161610	87884	11902	130059	9176	6	SAS	3372836
HG03710.pat	3073797	46294	154850	42881	33340	84175	22908	4	SAS	3458244
HG03732.mat	1993723	14971	119125	16345	23812	53642	15759	4	SAS	2237376
HG03732.pat	3029860	38126	154862	26548	28580	92528	14356	4	SAS	3384859
HG03807.mat	2147996	34027	197398	49007	35718	30632	15969	4	SAS	2510746
HG03807.pat	2257519	54462	117410	16340	40488	39337	11250	2	SAS	2536805
HG03927.mat	3093398	73535	134437	18376	42869	47859	15727	2	SAS	3426200
HG03927.pat	2660975	24508	156560	32686	33335	63363	18233	4	SAS	2989659
HG04036.mat	3064649	40851	108920	16340	26194	96595	21391	4	SAS	3374939
HG04036.pat	3156578	55816	180391	18380	38094	65085	20265	4	SAS	3534608
HG04217.mat	2641790	70812	117413	18377	47630	30327	14443	2	SAS	2940791
HG04217.pat	3805472	83063	195710	14295	23814	83412	20745	4	SAS	4226510
HG04228.mat	2776429	28597	149754	24510	35716	72743	21799	4	SAS	3109547
HG04228.pat	3142365	46291	158273	18380	38099	75116	17162	4	SAS	3495685
NA12329.mat	3664430	100779	192210	132835	28556	162718	6110	6	EUR	4287637
NA12329.pat	3600163	83052	239954	26547	33337	93614	15277	4	EUR	4091943
NA18534.mat	3304812	39474	211017	20422	38102	69003	95843	4	EAS	3778672
NA18534.pat	3521531	91233	146321	98094	26184	133101	8830	6	EAS	4025293
NA18939.mat	2905274	65361	56165	53134	4766	91631	4417	6	EAS	3180747
NA18939.pat	2760199	27234	197405	42888	30957	59290	16514	4	EAS	3134486
NA18989.mat	4057089	92595	105539	143070	11904	94329	4414	6	EAS	4508939
NA18989.pat	3251805	84420	120808	77661	11905	120855	7131	6	EAS	3674584
NA19036.mat	2336056	49009	190592	20417	30958	73205	15983	4	AFR	2716219
NA19036.pat	2787529	88501	181989	34695	21430	71595	341	3	AFR	3186079
NA19129.mat	1727980	27221	27234	6123	2381	45668	3182	4	AFR	1839788
NA19129.pat	2528071	24486	23834	6126	0	68871	10033	4	AFR	2661420
NA19238.mat	234002	243777	696032	2280331	228502	478575	72225	1	AFR	4233443
NA19238.pat	2332863	74895	136076	16319	26196	34425	492054	3	AFR	3112827
NA19239.mat	1870077	20422	81690	4086	2382	28964	407020	4	AFR	2414640
NA19239.pat	1849640	20422	76584	4086	2382	28964	408040	4	AFR	2390117
NA19317.mat	2151927	20410	22117	6127	9527	63402	4414	6	AFR	2277923
NA19317.pat	2349346	50371	188890	20417	33340	73205	17090	4	AFR	2732658
NA19331.mat	2680405	27232	127631	42880	30959	60295	17247	4	AFR	2986648
NA19331.pat	1848592	32683	100386	10209	21431	50412	28966	7	AFR	2092678
NA19347.mat	2868481	31307	96960	6124	11910	72750	30784	4	AFR	3118315
NA19347.pat	3665082	55810	74887	4084	11906	52580	24679	7	AFR	3889027
NA19384.mat	2885639	81686	159888	30608	26196	65090	341	3	AFR	3249447
NA19384.pat	1828836	29953	86767	10206	16670	47181	15494	7	AFR	2035106
NA19434.mat	2853179	88511	236544	26544	42865	68977	18402	4	AFR	3335021
NA19434.pat	2236330	20410	47612	20419	19057	43845	14099	7	AFR	2401771
NA19650.mat	2926600	29950	136138	22472	33340	60642	34605	4	AMR	3243746
NA19650.pat	3652273	23140	64648	10211	19054	55329	58369	7	AMR	3883023
NA19705.mat	564879	351305	430456	869781	126197	367937	52657	1	AFR	2763211
NA19705.pat	2876559	29953	170169	24507	40481	70868	22091	4	AFR	3234627
NA19836.mat	2921400	91220	197300	36738	21430	75335	342	3	AFR	3343764
NA19836.pat	2393646	21769	66378	4083	14288	43401	8433	7	AFR	2551997
NA19983.mat	3244462	47649	30641	8163	2381	59315	3182	4	AFR	3395792
NA19983.pat	1815930	27237	37428	6127	16664	37150	9016	4	AFR	1949551
NA20355.mat	206394	137550	222889	922812	216731	426264	18274	1	AFR	2150913
NA20355.pat	3239189	54445	62973	6125	14288	53777	7480	7	AFR	3438276
NA21487.mat	2321737	59909	153166	20419	28578	67761	257164	4	AFR	2908733
