Haplotype	1-mer	3-mer	11-mer	12-mer	13-mer	15-mer	16-mer	17-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG01505.pat	99329	610415	476066	2038	2624527	216590	10865	14425	122413	74112	1	EUR	4250779
HG01573.mat	108745	438023	507812	10200	1861083	216593	16297	11537	154358	26588	1	AMR	3351235
HG01573.pat	78315	28672	302292	14254	1176910	137570	619229	2884	42465	17807	2	AMR	2420397
HG01596.pat	90444	565687	442499	4079	2476158	295550	13577	23092	136241	63736	1	EAS	4111062
HG01890.mat	83102	451979	360357	2042	1960657	180884	21726	23086	104315	25896	1	AFR	3214043
HG01890.pat	106859	436020	464770	4076	1905319	244608	5431	11549	127305	37185	1	AFR	3343121
HG01891.mat	87535	62373	348981	54951	391209	150324	415541	11536	56650	10018	3	AFR	1589117
HG02011.mat	143634	10723	552320	52895	1127926	247084	1170573	92228	226330	43767	3	AFR	3667479
HG02011.pat	83936	619388	440677	0	2662129	226777	27160	14427	90575	23540	1	AFR	4188608
HG02018.mat	123435	797118	571271	6118	3531760	303200	19013	8664	115064	63521	1	EAS	5539163
HG02018.pat	76592	57287	302306	134326	1827619	231834	659954	11533	71119	18187	2	EAS	3390756
HG02059.mat	111821	869667	575037	12237	3764135	349037	21727	28867	222714	64572	1	EAS	6019813
HG02059.pat	83087	580053	364007	6123	2571381	244594	13581	14433	121405	18080	1	EAS	4016743
HG02071.mat	86000	73373	326611	63102	1114058	394915	1613219	14425	78061	14505	3	EAS	3778268
HG02106.mat	97970	590161	457374	4076	2582450	216579	10865	11548	128822	32368	1	AMR	4132212
HG02257.mat	81040	387352	371493	2038	1655237	244628	16298	14430	156293	31169	1	AFR	2959977
HG02282.mat	76427	338330	321024	0	1577633	43284	0	0	67835	8760	3	AFR	2433292
HG02293.mat	84293	35708	330305	122130	1750106	145220	567615	0	57384	14897	2	AMR	3107657
HG02492.mat	105146	387886	474152	2041	1670746	147794	10862	8649	100999	991024	1	SAS	3899298
HG02492.pat	89765	631864	449997	4076	2726323	244588	24438	11534	138288	48546	1	SAS	4369418
HG02554.mat	97115	543420	448029	4076	2352335	173265	8147	11549	157789	42615	1	AFR	3838339
HG02554.pat	109259	70382	412447	38685	457494	308200	217291	25955	70930	19154	3	AFR	1729796
HG02587.mat	86517	523024	410810	4080	2274906	242025	13579	8656	132887	36934	1	AFR	3733417
HG02587.pat	56592	66384	227683	321552	2155937	275170	1045638	20191	82279	37989	3	AFR	4289414
HG02615.mat	243832	7033	899308	130242	980489	78988	475274	80753	57288	4080	5	AFR	2957286
HG02615.pat	89079	431130	453728	4076	1838907	157973	16295	11537	84193	18719	1	AFR	3105636
HG02666.mat	135416	9574	485117	73258	980576	89163	230821	34608	56611	9319	5	AFR	2104462
HG02666.pat	59499	64400	255666	211654	2171297	249685	980468	11536	67711	133384	3	AFR	4205299
HG02723.pat	82932	41695	313488	4075	544823	290425	592056	135484	137036	43460	4	AFR	2185473
HG02769.pat	101738	59762	373206	0	404419	239490	391069	11528	59569	25307	3	AFR	1666087
HG02818.mat	57104	70913	242606	209625	1336484	280242	977738	11536	78373	19878	3	AFR	3284498
HG02818.pat	61713	60804	250089	63105	1847566	303162	749611	17303	56573	125695	2	AFR	3535620
HG02953.mat	161238	16128	610156	134314	1529195	275182	1713715	49028	75637	16775	5	AFR	4581367
HG02953.pat	57276	60863	235149	201475	1765894	272616	1116266	11537	68037	27780	3	AFR	3816892
HG03009.mat	103948	71365	386289	54950	924544	313382	1336209	20191	66714	12778	3	SAS	3290369
HG03009.pat	88905	581738	472421	8155	2480608	244594	10860	17319	121652	29833	1	SAS	4056084
HG03065.mat	186037	13081	695973	109894	1090764	234409	1398698	34608	46309	16968	5	AFR	3826740
HG03065.pat	71469	67388	291131	309341	1746162	264977	1051084	11536	68018	20810	3	AFR	3901915
HG03248.mat	99858	41697	382548	105796	1445663	361622	706041	195821	230047	36803	4	AFR	3605895
HG03248.pat	71128	71925	294894	179102	1695567	315929	1613271	11536	69027	19289	3	AFR	4341667
HG03371.mat	53346	56834	216495	229987	1688681	259876	966871	11537	73666	19406	3	AFR	3576698
HG03371.pat	197148	11556	735158	113961	1017978	165601	1412262	63449	98500	127963	5	AFR	3943575
HG03452.pat	83946	397540	509897	0	1575618	193655	27160	5782	79987	9648	1	AFR	2883232
HG03456.pat	67008	658036	384719	0	2883413	221676	32586	17308	126005	29899	1	AFR	4420649
HG03520.mat	52659	62369	222076	211654	1668971	272612	1056517	20189	76179	26053	3	AFR	3669278
HG03520.pat	103446	413073	485360	4076	1761450	242035	19010	14430	102354	52873	1	AFR	3198106
HG03683.mat	112331	450550	487208	12244	1949557	191121	10865	5777	154155	23870	1	SAS	3397677
HG03683.pat	77453	55277	311613	38674	1556524	264922	507881	8650	56473	21378	2	SAS	2898844
HG03732.mat	86854	710744	416322	4076	3104678	208929	10865	17318	147192	31676	1	SAS	4738653
HG03807.mat	72487	62316	291102	101768	1398008	295519	668118	5768	71221	21376	2	SAS	2987682
HG03807.pat	16752	57767	69046	87523	1150794	315742	814707	244683	328342	13194	4	SAS	3098549
HG04036.mat	94550	523486	438688	4076	2274803	206372	13580	8657	123244	25235	1	SAS	3712690
HG04036.pat	91985	464064	410663	4076	2046941	231868	13572	5762	119296	31940	1	SAS	3420166
HG04217.mat	75060	76370	296721	46813	1455501	198717	1007576	17308	66754	8537	3	SAS	3249356
HG04217.pat	90962	463837	451793	4076	1980532	168158	10866	11549	98810	29826	1	SAS	3310408
HG04228.pat	98132	579724	481658	4076	2513869	254812	8148	11549	127044	26433	1	SAS	4105444
NA12329.mat	70435	37261	287402	20361	575643	282766	423672	11534	37660	660816	2	EUR	2407549
NA12329.pat	111638	656957	490915	8161	2867914	193648	13578	8653	110287	16832	1	EUR	4478582
NA18534.mat	76938	58800	309751	113975	1950981	280223	608359	8651	51581	15545	2	EAS	3474803
NA18534.pat	75569	560587	362178	8156	2474036	203854	10869	11549	120331	23885	1	EAS	3851013
NA18939.mat	79507	57297	317235	191304	1629233	364300	741446	8651	60549	118780	2	EAS	3568301
NA18939.pat	91474	507876	401319	4076	2237233	142693	5432	5780	100348	593051	1	EAS	4089281
NA18989.mat	72835	55241	272430	105830	1884703	287872	717003	8651	73455	19508	2	EAS	3497527
NA18989.pat	124795	690713	584354	8159	2982979	254801	21735	23084	123183	39544	1	EAS	4853346
NA19036.mat	45484	51257	179136	87525	1463511	369250	695241	230231	335392	16021	4	AFR	3473047
NA19036.pat	89933	348660	425652	4076	1469382	196192	10864	11549	133379	44975	1	AFR	2734661
NA19129.mat	126022	43207	472115	91587	899711	394807	567467	241981	192664	35869	4	AFR	3065429
NA19129.pat	105847	74405	406815	170962	1766080	361748	912561	20187	67343	9142	3	AFR	3895089
NA19238.mat	174915	17101	660527	50878	859555	313393	2245989	49030	102017	21287	5	AFR	4494691
NA19238.pat	119863	38183	444112	10188	577629	343933	858203	187402	132594	38375	4	AFR	2750481
NA19239.mat	54884	56334	225843	199438	977117	216554	624674	11536	60026	22496	3	AFR	2448901
NA19239.pat	121399	47731	483334	63097	974673	305666	556666	198596	194269	27258	4	AFR	2972688
NA19317.mat	102754	528757	433059	0	2314567	254879	46168	17302	127413	31392	1	AFR	3856290
NA19317.pat	105482	100061	410598	57014	949356	568071	869103	80751	60373	27424	3	AFR	3228232
NA19331.mat	106341	661796	477921	2042	2927579	219123	8147	11537	108551	40519	1	AFR	4563555
NA19331.pat	92503	94400	352668	107852	1486936	382151	988544	23070	118919	280590	3	AFR	3927632
NA19347.mat	103267	525245	434925	0	2307931	254879	46168	17302	130088	31387	1	AFR	3851191
NA19347.pat	70959	51840	285533	138412	1168604	305743	1624085	20184	69889	38742	3	AFR	3773990
NA19434.mat	89592	63892	356446	132280	1177682	270074	1091784	11536	63265	23542	3	AFR	3280092
NA19434.pat	102076	602146	440560	4081	2668805	244597	21728	5770	121661	19955	1	AFR	4231378
NA19650.mat	84805	540060	418194	4076	2367829	214026	10864	11549	121922	37024	1	AMR	3810348
NA19650.pat	98143	523414	449905	4076	2285948	185993	10866	11548	121035	30693	1	AMR	3721620
NA19705.mat	92158	361414	376998	0	1663925	45830	2715	0	66507	3515	3	AFR	2613061
NA19705.pat	91820	308553	431254	2038	1296751	214036	16297	11545	130998	43504	1	AFR	2546795
NA19836.mat	117474	10546	438512	32563	989151	214029	491578	135421	139304	24202	4	AFR	2592779
NA19983.mat	95412	484577	390166	4080	2126652	196178	29877	34620	109418	25894	1	AFR	3496873
NA19983.pat	117628	524690	696664	8155	2068973	214004	24445	11535	189837	35337	1	AFR	3891267
NA20355.mat	65828	34758	255664	270652	1183732	310817	763167	5767	69108	35591	3	AFR	2995083
NA20355.pat	182957	14093	690396	158736	1515941	264989	1784342	60563	75994	27636	5	AFR	4775646
NA20509.mat	95237	482697	393795	8158	2122201	157997	2714	2892	102737	25539	1	EUR	3393966
NA20509.pat	44787	783170	190356	24482	3541098	155431	529636	40376	117341	30540	3	EUR	5457216
NA20847.mat	513	473648	119691	2038	2033737	170700	13580	17315	117692	31254	1	SAS	2980167
NA20847.pat	96421	775017	479849	8159	3385646	267503	13579	23083	124968	39856	1	SAS	5214080
NA21487.mat	81198	135060	315332	65241	906371	422888	553995	17304	125964	10565	3	AFR	2633917
NA21487.pat	94213	421098	435031	2038	1796909	196174	24443	23086	101757	30652	1	AFR	3125400
