Haplotype	15-mer	18-mer	25-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG01505.pat	10192	2518935	377624	95276	22418	3	EUR	3024444
HG01573.pat	15286	1797523	0	27347	84596	1	AMR	1924751
HG01596.mat	568852	1525355	0	44674	63761	2	EAS	2202641
HG01596.pat	30576	3961721	297008	95793	33128	3	EAS	4418225
HG01890.mat	25481	2601473	4243	57733	28853	1	AFR	2717782
HG01890.pat	0	1317355	0	21559	4876	1	AFR	1343789
HG02011.mat	33128	2512610	0	21733	176739	1	AFR	2744209
HG02011.pat	17836	4533457	462479	126038	37318	3	AFR	5177127
HG02018.mat	25480	4401959	301253	169381	45922	3	EAS	4943994
HG02059.mat	15290	2317094	0	16296	166913	1	EAS	2515592
HG02059.pat	22932	3585766	449755	146228	35745	3	EAS	4240425
HG02071.pat	12740	776391	0	6795	7967	1	EAS	803892
HG02106.mat	0	385137	0	10868	15225	1	AMR	411229
HG02106.pat	0	412637	0	5434	15225	1	AMR	433295
HG02282.mat	33128	2512610	0	21733	176739	1	AFR	2744209
HG02282.pat	0	2249916	156990	93275	33522	3	AFR	2533702
HG02293.mat	0	1289853	0	26993	4876	1	AMR	1321721
HG02293.pat	17837	2491220	0	21903	112067	1	AMR	2643026
HG02492.mat	10191	2494489	0	27014	661605	1	SAS	3193298
HG02492.pat	25480	4848295	547335	198520	30093	3	SAS	5649722
HG02554.pat	48405	2791060	0	145202	53348	3	AFR	3038014
HG02587.mat	12740	2748105	0	38058	366575	1	AFR	3165477
HG02587.pat	15288	2176559	0	50089	13973	1	AFR	2255908
HG02615.mat	17843	3029171	0	33461	181954	1	AFR	3262428
HG02647.mat	43314	2674831	8486	74097	61519	1	AFR	2862246
HG02647.pat	17843	2992462	0	40421	172191	1	AFR	3222916
HG02666.mat	2548	1785284	0	19202	50225	1	AFR	1857258
HG02666.pat	10192	2806299	466728	137914	28956	3	AFR	3450088
HG02769.pat	35671	2457788	0	67943	16841	1	AFR	2578242
HG02809.mat	5096	1461249	33944	22428	29011	3	AFR	1551727
HG02818.mat	38211	1907492	0	51792	52771	1	AFR	2050265
HG02818.pat	33123	2439449	0	62337	16841	1	AFR	2551749
HG02886.pat	15291	2598139	0	33460	163068	1	AFR	2809957
HG02953.pat	2548	2363094	0	24625	23102	1	AFR	2413368
HG03009.mat	22932	6563203	784938	276521	52268	3	SAS	7699861
HG03009.pat	15286	2060227	0	22582	172807	1	SAS	2270901
HG03065.mat	33152	2357044	0	81871	47175	1	AFR	2519241
HG03065.pat	7648	2543225	0	23607	306021	1	AFR	2880500
HG03248.mat	45865	2497437	0	48409	24170	1	AFR	2615880
HG03371.mat	7643	1556001	0	15287	20100	1	AFR	1599030
HG03371.pat	2549	3405289	0	32255	647684	1	AFR	4087776
HG03452.mat	2548	2283581	0	33454	110808	1	AFR	2430390
HG03452.pat	12740	1791344	0	31448	10987	1	AFR	1846518
HG03456.mat	12740	2427287	0	43819	116042	1	AFR	2599887
HG03456.pat	7644	3613075	0	21916	271970	1	AFR	3914604
HG03520.mat	15288	1580348	0	21727	88124	1	AFR	1705486
HG03520.pat	2549	3643669	0	24957	393247	1	AFR	4064421
HG03683.mat	15288	1775927	0	13065	97509	1	SAS	1901788
HG03683.pat	7644	1983837	0	9504	151548	1	SAS	2152532
HG03710.mat	15287	1983873	0	16465	118132	1	SAS	2133756
HG03710.pat	33126	2558446	0	26664	148375	1	SAS	2766610
HG03732.mat	12741	1977745	0	29209	188643	1	SAS	2208337
HG03732.pat	545881	1812700	0	60292	7449	2	SAS	2426321
HG03807.mat	10191	2741957	0	24623	204599	1	SAS	2981369
HG03807.pat	2548	2485375	0	35326	16888	1	SAS	2540136
HG03927.pat	10192	1118896	4247	38908	19946	3	SAS	1192188
HG04036.mat	15289	1867700	0	12398	126134	1	SAS	2021520
HG04036.pat	7644	1922834	84860	56573	31749	3	SAS	2103659
HG04217.mat	22931	3081491	0	33790	89759	1	SAS	3227970
HG04217.pat	318859	1601788	0	45696	15994	2	SAS	1982336
HG04228.mat	17834	1898278	0	15610	123552	1	SAS	2055273
NA12329.mat	630063	2207016	0	68790	9969	2	EUR	2915837
NA12329.pat	28029	2417926	0	8325	72073	1	EUR	2526352
NA18534.mat	15287	2246670	0	29377	120705	1	EAS	2412038
NA18534.pat	22933	2344562	0	24458	153932	1	EAS	2545884
NA18939.mat	0	1485475	0	25126	29240	1	EAS	1539840
NA18939.pat	28025	2791053	140019	85797	33515	3	EAS	3078408
NA18989.mat	28027	4148251	415813	117354	30125	3	EAS	4739569
NA18989.pat	17836	3766070	449755	132650	459375	3	EAS	4825685
NA19036.mat	43303	2179614	0	100169	191988	3	AFR	2515073
NA19036.pat	2548	2045132	0	24637	65700	1	AFR	2138016
NA19129.mat	2548	2405879	0	43819	107033	1	AFR	2559278
NA19129.pat	2548	2115409	106071	102090	22950	3	AFR	2349067
NA19238.mat	40785	2972398	0	50139	107412	1	AFR	3170733
NA19239.mat	2548	253704	0	1189	4930	1	AFR	262370
NA19239.pat	25481	2659547	4243	57225	25850	1	AFR	2772345
NA19317.mat	7644	1736340	25458	29393	22949	3	AFR	1821783
NA19317.pat	2547	1990023	0	10693	1056308	1	AFR	3059570
NA19331.mat	5095	1763888	0	42980	34899	1	AFR	1846861
NA19331.pat	0	3014032	0	26144	345053	1	AFR	3385228
NA19347.mat	12740	2616781	97588	44350	27511	3	AFR	2798969
NA19347.pat	7644	3016935	0	23587	156999	1	AFR	3205164
NA19384.mat	22944	1418243	0	50129	8310	1	AFR	1499625
NA19384.pat	7644	1611009	21215	29393	27362	3	AFR	1696622
NA19434.mat	35676	2683961	4243	82613	58517	1	AFR	2865009
NA19650.mat	20383	2986654	0	34138	112952	1	AMR	3154126
NA19650.pat	655577	1925824	0	87311	277291	2	AMR	2946002
NA19705.mat	38224	2735964	4243	72537	34947	1	AFR	2885914
NA19705.pat	17789	1952373	0	69173	52561	1	AFR	2091895
NA19836.mat	15287	3760099	0	65586	17097	1	AFR	3858068
NA19836.pat	15288	2121338	0	18850	63476	1	AFR	2218951
NA19983.mat	0	1883069	144262	61333	38958	3	AFR	2127621
NA19983.pat	20385	3035409	0	30044	107536	1	AFR	3193373
NA20355.mat	7644	2626017	0	27524	28111	3	AFR	2689295
NA20355.pat	5096	2145984	186690	60648	20614	3	AFR	2419031
NA20509.mat	25483	2778472	0	33108	182654	1	EUR	3019716
NA20509.pat	30574	3561448	0	27695	388403	1	EUR	4008119
NA21487.mat	17834	1901458	0	44660	13886	1	AFR	1977837
NA21487.pat	632610	1800382	0	39419	15009	2	AFR	2487419
