Haplotype	5-mer	6-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG01457.pat	2680596	4084	1871	130553	1	AMR	2817103
HG01505.mat	4795148	438923	12061	76643	7	EUR	5322774
HG01505.pat	2555564	1021	5784	129116	1	EUR	2691484
HG01573.mat	2614289	4080	6977	125209	1	AMR	2750554
HG01573.pat	5784477	527327	25233	47113	7	AMR	6384149
HG01596.mat	1951459	5105	1533	141744	1	EAS	2099840
HG01596.pat	4226614	1018	12893	174602	5	EAS	4415126
HG01890.mat	3566127	6126	3556	186293	2	AFR	3762101
HG01890.pat	3495670	1017	4755	130217	5	AFR	3631658
HG01891.mat	2717368	12240	6132	100753	1	AFR	2836492
HG01928.mat	2592178	4080	8510	131337	1	AMR	2736104
HG01952.pat	2680582	5101	5616	123645	1	AMR	2814943
HG01978.mat	5781029	594389	32151	44696	7	AMR	6452264
HG01978.pat	3507499	2034	9191	71910	10	AMR	3590633
HG02011.mat	2496028	5094	28743	68008	13	AFR	2597872
HG02011.pat	3262813	3059	9176	115270	1	AFR	3390317
HG02018.mat	3694357	1017	30085	88826	11	EAS	3814284
HG02018.pat	3354497	1020	20060	97960	11	EAS	3473536
HG02055.mat	3987043	4071	20530	140483	5	AFR	4152126
HG02055.pat	2553813	7131	30787	78246	13	AFR	2669976
HG02059.mat	4280994	1018	8828	210237	5	EAS	4501076
HG02059.pat	3606100	1018	11877	164586	5	EAS	3783580
HG02071.mat	2502960	2042	1871	125699	1	EAS	2632571
HG02071.pat	3488055	1018	12734	215795	5	EAS	3717601
HG02106.mat	2590494	5101	9529	126521	1	AMR	2731644
HG02106.pat	5035808	397262	16091	35190	7	AMR	5484350
HG02109.mat	2639701	0	7656	86555	10	AFR	2733911
HG02145.pat	2079567	0	3066	35249	15	AFR	2117881
HG02148.pat	2624512	5101	6977	127741	1	AMR	2764330
HG02257.mat	2527617	2042	4928	141580	1	AFR	2676166
HG02257.pat	3054473	5097	5273	129312	4	AFR	3194154
HG02282.mat	2368629	0	47159	108210	9	AFR	2523997
HG02282.pat	2729793	1017	5443	84165	10	AFR	2820417
HG02293.pat	2347363	0	1361	137473	1	AMR	2486196
HG02300.pat	2571804	3063	7315	117509	1	AMR	2699690
HG02486.mat	2805403	0	32519	96256	9	AFR	2934177
HG02486.pat	3695318	6122	4587	99361	3	AFR	3805387
HG02492.mat	2448618	5101	1361	94879	1	SAS	2549958
HG02492.pat	3849983	3051	11065	84197	10	SAS	3948295
HG02554.mat	3346869	0	22088	82519	11	AFR	3451475
HG02554.pat	3747792	3051	7662	145752	15	AFR	3904256
HG02559.mat	1705796	0	1361	113344	1	AFR	1820500
HG02559.pat	2483278	5094	29425	68008	13	AFR	2585804
HG02572.mat	3268368	0	11916	130322	12	AFR	3410605
HG02572.pat	1079316	0	1361	149902	1	AFR	1230578
HG02587.mat	2880226	5097	8668	211138	4	AFR	3105128
HG02587.pat	3441609	224529	11360	228255	6	AFR	3905752
HG02615.mat	3232102	1017	15666	87232	10	AFR	3336016
HG02615.pat	3838702	0	39483	49149	8	AFR	3927333
HG02622.mat	3930793	12232	8676	225415	3	AFR	4177115
HG02630.mat	3675712	7135	11057	138811	4	AFR	3832714
HG02630.pat	5402747	9189	11539	186740	2	AFR	5610214
HG02647.mat	3724122	0	52101	82623	9	AFR	3858845
HG02647.pat	3996208	10198	10214	214981	3	AFR	4231600
HG02666.mat	3401170	0	44779	82460	9	AFR	3528408
HG02666.pat	2825815	0	33542	88060	9	AFR	2947416
HG02717.mat	3997568	210308	10866	117213	6	AFR	4335954
HG02717.pat	3329678	0	33698	50124	8	AFR	3413499
HG02723.pat	3430073	0	46141	85868	9	AFR	3562081
HG02769.mat	2815468	2034	31479	49045	8	AFR	2898025
HG02769.pat	3379977	7135	8671	124514	4	AFR	3520296
HG02809.mat	1377719	0	1699	107528	1	AFR	1486945
HG02809.pat	3717855	1017	5105	193669	15	AFR	3917645
HG02818.mat	4041246	2034	21622	94525	10	AFR	4159426
HG02818.pat	4956369	2034	38133	101505	9	AFR	5098040
HG02886.mat	3327268	1017	14133	81236	10	AFR	3423653
HG02886.pat	2990706	0	27408	95396	9	AFR	3113509
HG02953.mat	3811550	1017	3066	168422	15	AFR	3984054
HG02953.pat	3748100	5105	10717	85586	3	AFR	3849507
HG03009.mat	3622120	0	32468	81832	11	SAS	3736419
HG03009.pat	4074518	3051	12058	159197	5	SAS	4248823
HG03065.mat	2491809	0	40690	129853	9	AFR	2662351
HG03065.pat	3105300	2034	30784	47571	8	AFR	3185688
HG03098.pat	2525828	0	6132	170723	14	AFR	2702682
HG03248.mat	3612874	9177	9696	152219	4	AFR	3783965
HG03248.pat	2755305	0	16855	99484	9	AFR	2871643
HG03371.mat	3226162	1017	16175	90296	10	AFR	3333649
HG03371.pat	5681424	11225	8481	194936	2	AFR	5896065
HG03452.mat	3596648	0	49542	85868	9	AFR	3732057
HG03452.pat	3294010	1017	29417	39008	8	AFR	3363451
HG03453.pat	4500174	7147	8831	166102	2	AFR	4682253
HG03456.mat	3220183	0	43417	130180	9	AFR	3393779
HG03456.pat	3321059	0	14640	134827	12	AFR	3470525
HG03492.mat	3597704	1017	11885	146874	5	SAS	3757479
HG03492.pat	3182910	3051	9021	81815	10	SAS	3276796
HG03516.pat	2935415	0	46821	67607	9	AFR	3049842
HG03520.mat	3188856	3059	9176	115127	1	AFR	3316217
HG03520.pat	3324382	219447	14603	106838	6	AFR	3665269
HG03540.mat	2785076	5097	5273	111263	4	AFR	2906708
HG03579.pat	4401566	8164	9175	178013	2	AFR	4596917
HG03683.mat	5113137	446009	23048	34365	7	SAS	5616558
HG03683.pat	2670350	3062	6125	137178	1	SAS	2816714
HG03710.mat	2467288	2042	1871	128840	1	SAS	2600040
HG03710.pat	3067372	1018	6114	146444	5	SAS	3220947
HG03732.mat	3597683	482612	17449	36631	7	SAS	4134374
HG03732.pat	5362152	527315	27633	180053	7	SAS	6097152
HG03807.mat	3586644	481604	18787	34753	7	SAS	4121787
HG03807.pat	4359108	1017	12256	102829	10	SAS	4475209
HG03927.mat	5040091	360692	12066	87179	7	SAS	5500027
HG03927.pat	2758735	2042	4592	143666	1	SAS	2909034
HG04036.mat	2807211	2042	6125	133300	1	SAS	2948677
HG04036.pat	4912576	408412	28812	40117	7	SAS	5389916
HG04228.mat	3386707	3062	3230	138137	1	SAS	3531135
HG04228.pat	2398403	3063	4593	323932	1	SAS	2729990
NA12329.mat	2262372	4084	1871	112027	1	EUR	2380353
NA12329.pat	3229721	3052	11377	140806	5	EUR	3384955
NA18534.mat	3245626	3054	20564	87463	11	EAS	3356706
NA18534.pat	5611177	442986	19464	131783	7	EAS	6205409
NA18906.mat	2780781	0	2213	102418	10	AFR	2885411
NA18906.pat	2578584	0	4764	109144	5	AFR	2692491
NA18939.mat	2242896	3063	4427	123951	1	EAS	2374336
NA18939.pat	5334965	443997	25065	37742	7	EAS	5841768
NA18989.mat	2809778	4084	3570	110151	1	EAS	2927582
NA18989.pat	2469787	4083	2722	143588	1	EAS	2620179
NA19036.mat	2451068	0	48864	115554	9	AFR	2615485
NA19036.pat	3381472	182880	15435	146229	6	AFR	3726015
NA19129.mat	3824522	5105	5950	101400	3	AFR	3936976
NA19129.pat	4004632	10198	10717	148223	4	AFR	4173769
NA19238.mat	1335228	0	1361	108359	1	AFR	1444947
NA19238.pat	3085934	0	5960	187058	14	AFR	3278951
NA19239.mat	2609949	7131	29595	80293	13	AFR	2726967
NA19239.pat	3708758	0	34394	90439	9	AFR	3833590
NA19317.mat	2377995	0	27416	97469	9	AFR	2502879
NA19317.pat	5261258	0	22129	122592	12	AFR	5405978
NA19331.mat	4208113	0	8323	193396	15	AFR	4409831
NA19331.pat	3167510	1017	17199	101035	10	AFR	3286760
NA19347.mat	3642608	1017	15666	103411	10	AFR	3762701
NA19347.pat	3616143	0	32009	90439	9	AFR	3738590
NA19384.mat	4504418	1017	3065	197869	15	AFR	4706368
NA19384.pat	3459831	0	44094	119626	9	AFR	3623550
NA19434.mat	3456473	5093	8163	133731	4	AFR	3603459
NA19434.pat	3294167	1017	15666	92181	10	AFR	3403030
NA19650.mat	3162556	1018	10189	111752	5	AMR	3285514
NA19650.pat	2576012	0	5097	127433	1	AMR	2708541
NA19705.mat	2896973	0	10042	130677	12	AFR	3037691
NA19705.pat	4490211	4065	6464	70550	15	AFR	4571289
NA19836.mat	3936310	237741	12893	111074	6	AFR	4298017
NA19836.pat	2975896	2034	1871	175140	15	AFR	3154940
NA19983.mat	2462091	0	27413	101077	9	AFR	2590580
NA19983.pat	2916740	0	30988	92157	9	AFR	3039884
NA20129.mat	2053081	0	6280	57256	14	AFR	2116616
NA20129.pat	3338308	5100	8677	96040	3	AFR	3448124
NA20509.mat	2601553	4084	1871	134178	1	EUR	2741685
NA20509.pat	3551853	5096	11368	222228	5	EUR	3790544
NA20847.mat	6362316	504891	25067	33528	7	SAS	6925801
NA20847.pat	3674837	7142	4591	123638	1	SAS	3810207
NA21487.mat	2949085	1017	14133	100370	10	AFR	3064604
NA21487.pat	2194375	0	20769	81617	9	AFR	2296760
