Haplotype	8-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG00741.pat	2889921	23028	11368	1	AMR	2924316
HG01071.mat	2285644	26789	4937	3	AMR	2317369
HG01099.mat	1591522	62533	13058	4	AMR	1667112
HG01106.mat	1572284	34402	3640	8	AMR	1610325
HG01106.pat	2562432	76785	2267	8	AMR	2641483
HG01109.mat	1430688	26923	2048	5	AMR	1459658
HG01109.pat	1539558	55333	4654	8	AMR	1599544
HG01114.mat	4291893	55048	10669	3	AMR	4357609
HG01114.pat	2581388	88204	6043	8	AMR	2675634
HG01243.pat	672245	31027	8974	10	AMR	712245
HG01258.mat	1783607	58586	9431	8	AMR	1851623
HG01352.mat	844146	18942	7888	1	AMR	870975
HG01352.pat	1437570	6993	116549	6	AMR	1561111
HG01358.mat	2767190	26948	11165	1	AMR	2805302
HG01358.pat	1532810	57879	3295	8	AMR	1593983
HG01361.mat	1713064	12106	117368	6	AMR	1842537
HG01457.mat	3409555	53216	15302	1	AMR	3478072
HG01457.pat	1475754	13125	130292	6	AMR	1619170
HG01505.mat	2306199	22343	7890	1	EUR	2336431
HG01505.pat	2757257	86831	4655	8	EUR	2848742
HG01573.mat	2191657	31390	9782	1	AMR	2232828
HG01573.pat	1245096	32692	6028	8	AMR	1283815
HG01596.mat	1770342	16530	152104	6	EAS	1938975
HG01596.pat	2370276	46539	3609	3	EAS	2420423
HG01890.mat	1824442	50935	8431	8	AFR	1883807
HG01890.pat	3288116	36653	8038	3	AFR	3332806
HG01928.mat	2116608	34779	2267	3	AMR	2153653
HG01928.pat	1645928	53791	3295	8	AMR	1703013
HG01952.mat	1734962	7842	88685	6	AMR	1831488
HG01978.pat	1401911	41567	12267	4	AMR	1455744
HG02004.mat	2277436	34277	1989	3	AMR	2313701
HG02011.mat	1784016	24533	97914	6	AFR	1906462
HG02011.pat	4831902	95357	25930	8	AFR	4953188
HG02018.mat	2109726	129702	918136	8	EAS	3157563
HG02018.pat	1590032	30996	4655	8	EAS	1625682
HG02059.mat	1723698	67768	2267	8	EAS	1793732
HG02059.pat	1560321	15339	130296	6	EAS	1705955
HG02071.mat	1560216	54205	17470	10	EAS	1631890
HG02080.mat	1629448	36104	3640	8	EAS	1669191
HG02106.mat	1858710	44939	348306	8	AMR	2251954
HG02106.pat	1576480	54135	3295	8	AMR	1633909
HG02145.mat	1972107	59966	20070	5	AFR	2052142
HG02282.mat	1458022	14649	61589	6	AFR	1534259
HG02282.pat	1297034	49744	15049	5	AFR	1361826
HG02293.mat	1684428	17215	106743	6	AMR	1808385
HG02293.pat	1943596	21304	165585	6	AMR	2130484
HG02300.mat	1977347	34975	23491	3	AMR	2035812
HG02300.pat	2593658	77634	2267	8	AMR	2673558
HG02492.mat	1644688	70367	19628	4	SAS	1734682
HG02492.pat	2011687	82500	26823	10	SAS	2121009
HG02554.mat	643543	16348	4655	8	AFR	664545
HG02554.pat	1880816	9885	98993	6	AFR	1989693
HG02559.pat	1962693	31524	131540	6	AFR	2125756
HG02587.mat	1569602	96695	3120	8	AFR	1669416
HG02587.pat	2732969	27103	17425	2	AFR	2777496
HG02615.pat	2546183	28635	4632	7	AFR	2579449
HG02622.mat	1455070	58231	4655	8	AFR	1517955
HG02622.pat	2630727	36306	2267	3	AFR	2669299
HG02630.mat	1588697	55339	2267	8	AFR	1646302
HG02630.pat	1541032	35985	39983	3	AFR	1616999
HG02647.mat	1712619	76629	47115	8	AFR	1836362
HG02647.pat	2524358	24208	8747	7	AFR	2557312
HG02666.mat	2374325	26416	17425	2	AFR	2418165
HG02666.pat	2527210	69547	11268	9	AFR	2608024
HG02717.pat	1466053	31388	3295	10	AFR	1500735
HG02769.mat	983110	37802	4655	8	AFR	1025566
HG02769.pat	2368801	147749	6538	8	AFR	2523087
HG02809.mat	1547821	59589	2267	8	AFR	1609676
HG02809.pat	2280291	29501	15998	1	AFR	2325789
HG02818.mat	2437183	70915	11269	9	AFR	2519366
HG02818.pat	1849363	83423	6339	8	AFR	1939124
HG02953.mat	1976305	9882	206858	6	AFR	2193044
HG02953.pat	2507871	32727	4312	3	AFR	2544909
HG03009.mat	1700547	53817	9303	8	SAS	1763666
HG03009.pat	1658525	17555	144569	6	SAS	1820648
HG03065.mat	1959900	15672	136051	6	AFR	2111622
HG03065.pat	2134272	36495	4637	10	AFR	2175403
HG03098.mat	1702176	11923	123653	6	AFR	1837751
HG03248.mat	1696573	63031	704937	5	AFR	2464540
HG03248.pat	1987058	82740	3613	8	AFR	2073410
HG03371.mat	1728057	11586	70629	6	AFR	1810271
HG03371.pat	1688527	34078	72580	6	AFR	1795184
HG03452.mat	1539760	21128	10503	10	AFR	1571390
HG03452.pat	2016978	35124	4636	10	AFR	2056737
HG03453.pat	2693402	20765	6178	7	AFR	2720344
HG03456.mat	1538265	42136	61500	3	AFR	1641900
HG03456.pat	1783987	11927	127012	6	AFR	1922925
HG03516.pat	2063528	16694	13856	9	AFR	2094077
HG03520.mat	1453556	60609	4655	8	AFR	1518819
HG03520.pat	2218757	83752	4654	8	AFR	2307162
HG03540.mat	1453778	53808	6001	8	AFR	1513586
HG03683.mat	1558944	8012	124028	6	SAS	1690983
HG03683.pat	1532772	54824	4142	8	SAS	1591737
HG03710.mat	2068867	26263	3800	3	SAS	2098929
HG03710.pat	1636516	52090	3799	8	SAS	1692404
HG03732.mat	2300671	76634	4655	8	SAS	2381959
HG03732.pat	1689733	28833	7693	3	SAS	1726258
HG03807.mat	1643245	60956	4141	8	SAS	1708341
HG03807.pat	3044035	23378	14376	1	SAS	3081788
HG03927.mat	1635120	54820	13522	8	SAS	1703461
HG03927.pat	1266910	57950	20476	10	SAS	1345335
HG04036.mat	1362341	54149	7558	8	SAS	1424047
HG04036.pat	1688525	17212	136433	6	SAS	1842169
HG04217.mat	2018405	40230	2704	3	SAS	2061338
HG04217.pat	2077077	33756	3397	3	SAS	2114229
HG04228.mat	1305099	62722	20476	10	SAS	1388296
HG04228.pat	2383758	34949	2267	3	SAS	2420973
NA12329.mat	1039278	12441	29269	6	EUR	1080987
NA12329.pat	1474191	48692	6000	8	EUR	1528882
NA18534.mat	2990838	42595	2267	3	EAS	3035699
NA18534.pat	1624119	46490	3295	8	EAS	1673903
NA18906.mat	1046131	7160	47363	6	AFR	1100653
NA18939.mat	929971	11933	3295	8	EAS	945198
NA18939.pat	2135663	176339	2267	8	EAS	2314268
NA18989.mat	1296914	25205	4655	8	EAS	1326773
NA18989.pat	1797443	48380	10897	4	EAS	1856719
NA19036.mat	1822008	101795	5987	8	AFR	1929789
NA19036.pat	2235093	83752	7041	8	AFR	2325885
NA19129.mat	1942071	81389	4654	8	AFR	2028113
NA19129.pat	1481243	4772	86062	6	AFR	1572076
NA19238.mat	1857355	29865	23489	3	AFR	1910708
NA19238.pat	1768510	69123	4654	8	AFR	1842286
NA19239.mat	1442873	31042	3295	10	AFR	1477209
NA19239.pat	1823206	113034	4655	8	AFR	1940894
NA19317.mat	3042568	28979	23485	2	AFR	3095031
NA19317.pat	1112843	47894	20078	10	AFR	1180814
NA19347.mat	1497390	42225	2267	8	AFR	1541881
NA19347.pat	1639242	77974	2267	8	AFR	1719482
NA19384.mat	1190748	8177	54251	6	AFR	1253175
NA19384.pat	1928091	56858	4654	8	AFR	1989602
NA19434.mat	1741526	85801	3574	8	AFR	1830900
NA19650.mat	1042022	12441	29419	6	AMR	1083881
NA19650.pat	2914402	37004	6407	3	AMR	2957812
NA19705.mat	1731902	32748	3295	10	AFR	1767944
NA19705.pat	2557085	36301	18957	2	AFR	2612342
NA19836.pat	3399854	36995	6917	3	AFR	3443765
NA19983.mat	3709615	38873	6163	3	AFR	3754650
NA19983.pat	1577826	65720	2267	8	AFR	1645812
NA20355.mat	1767359	35136	3295	10	AFR	1805789
NA20355.pat	2385536	36467	84559	6	AFR	2506561
NA20509.mat	2241992	41595	4972	3	EUR	2288558
NA20509.pat	1647598	13637	128892	6	EUR	1790126
NA20847.mat	1215080	24546	2704	3	SAS	1242329
NA21487.mat	2501250	32054	21590	1	AFR	2554893
NA21487.pat	3248741	61324	51776	9	AFR	3361840
