Haplotype	8-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG02622.pat	3056503	80933	17019	3	AFR	3154454
HG02630.pat	3941724	59072	43861	5	AFR	4044656
HG02647.pat	3367668	122292	16176	1	AFR	3506135
HG02666.mat	2993142	73472	39435	6	AFR	3106048
HG02666.pat	1636669	7152	8815	6	AFR	1652635
HG02769.mat	1371289	31686	4997	3	AFR	1407971
HG02769.pat	2473288	94225	11092	3	AFR	2578604
HG02809.mat	2828904	75321	18488	3	AFR	2922712
HG02809.pat	2918730	16013	15149	9	AFR	2949891
HG02818.mat	2931926	51973	27589	14	AFR	3011487
HG02818.pat	4679454	151230	18931	1	AFR	4849614
HG02886.pat	2196040	60312	9722	3	AFR	2266073
HG02953.mat	2130013	64578	29620	3	AFR	2224210
HG02953.pat	3437923	67478	34024	3	AFR	3539424
HG03009.mat	2303360	42792	9372	16	SAS	2355523
HG03009.pat	1956808	86922	21126	13	SAS	2064855
HG03065.mat	2411049	44997	12436	10	AFR	2468481
HG03065.pat	1770775	85512	10100	4	AFR	1866386
HG03098.mat	2494543	36843	13065	6	AFR	2544450
HG03098.pat	1797362	7843	41563	7	AFR	1846767
HG03248.mat	2272665	6491	9025	7	AFR	2288180
HG03248.pat	2361438	62699	5890	3	AFR	2430026
HG03371.mat	2334316	76973	7654	1	AFR	2418942
HG03371.pat	1945646	19458	31996	7	AFR	1997099
HG03452.mat	3236285	73314	44856	15	AFR	3354454
HG03452.pat	834103	9216	6302	6	AFR	849620
HG03453.pat	3123607	86414	18497	3	AFR	3228517
HG03456.mat	2212614	8877	17873	7	AFR	2239363
HG03456.pat	2284254	41591	9634	10	AFR	2335478
HG03486.pat	3424413	44028	37376	6	AFR	3505816
HG03492.pat	1722455	33396	3590	11	SAS	1759440
HG03520.mat	2696982	101499	12425	1	AFR	2810905
HG03520.pat	2211318	44653	34283	3	AFR	2290253
HG03683.mat	2034400	56097	24234	13	SAS	2114730
HG03683.pat	3932926	47891	34209	14	SAS	4015025
HG03710.mat	3574747	100236	28023	2	SAS	3703005
HG03732.mat	3367158	70557	24994	14	SAS	3462708
HG03732.pat	3649679	61169	4848	11	SAS	3715695
HG03807.mat	3598742	51312	27331	14	SAS	3677384
HG03807.pat	3477708	60663	1888	11	SAS	3540258
HG03927.mat	2309743	97325	19591	13	SAS	2426658
HG03927.pat	3133952	44652	26204	14	SAS	3204807
HG04036.mat	3443529	89637	24999	14	SAS	3558164
HG04036.pat	3207336	61358	568964	14	SAS	3837657
HG04217.mat	4436321	111968	37736	2	SAS	4586024
HG04217.pat	2913189	54013	386853	11	SAS	3354054
HG04228.mat	2349000	25563	6983	9	SAS	2381545
HG04228.pat	2969444	26744	30476	9	SAS	3026663
NA12329.mat	3582509	56061	20675	14	EUR	3659244
NA12329.pat	2877409	73974	16339	14	EUR	2967721
NA18534.mat	3764153	40373	15759	11	EAS	3820284
NA18534.pat	2776503	38189	12344	14	EAS	2827035
NA18906.pat	3122393	115048	21905	16	AFR	3259345
NA18939.mat	2240182	102772	19316	13	EAS	2362269
NA18939.pat	3182606	165130	36957	12	EAS	3384692
NA18989.mat	2691746	175859	32565	12	EAS	2900169
NA18989.pat	2695828	148592	20939	12	EAS	2865358
NA19036.mat	2035344	8196	17873	7	AFR	2061412
NA19036.pat	2554193	60839	9976	10	AFR	2625007
NA19129.mat	2008257	7172	20596	7	AFR	2036024
NA19129.pat	3016379	46088	15110	6	AFR	3077576
NA19238.mat	2845423	55563	21572	3	AFR	2922557
NA19238.pat	3247742	53839	32330	6	AFR	3333910
NA19239.mat	2463338	130143	15510	4	AFR	2608990
NA19239.pat	2825557	62544	9976	10	AFR	2898076
NA19317.mat	2007224	10387	92612	7	AFR	2110222
NA19317.pat	3074153	33399	21952	9	AFR	3129503
NA19331.mat	2610690	72072	15776	3	AFR	2698537
NA19331.pat	2949187	82658	18496	3	AFR	3050340
NA19347.mat	1816063	40913	23844	3	AFR	1880819
NA19347.pat	3825292	130123	14351	1	AFR	3969765
NA19384.mat	3393319	113814	46618	3	AFR	3553750
NA19384.pat	3127506	47904	518269	5	AFR	3693678
NA19434.mat	1031959	7516	17870	7	AFR	1057344
NA19650.mat	2469173	87786	25976	13	AMR	2582934
NA19650.pat	2274420	108231	19317	13	AMR	2401967
NA19705.mat	1559414	12788	39514	7	AFR	1611715
NA19705.pat	3140008	89818	18496	3	AFR	3248321
NA19836.mat	2566033	94898	11092	3	AFR	2672022
NA19836.pat	1270630	30354	30983	6	AFR	1331966
NA19983.mat	2973712	85725	18496	3	AFR	3077932
NA19983.pat	843743	9900	6302	6	AFR	859944
NA20355.mat	1625552	53687	7204	2	AFR	1686442
NA20355.pat	3117589	62414	45867	15	AFR	3225869
NA20509.mat	2785197	70394	13736	2	EUR	2869326
NA20509.pat	2491334	50105	15165	14	EUR	2556603
NA20847.mat	2359875	22493	10899	9	SAS	2393266
NA20847.pat	2694420	139062	21509	12	SAS	2854990
NA21309.mat	1359492	13805	7037	6	AFR	1380333
NA21487.mat	2195655	63760	14321	6	AFR	2273735
NA21487.pat	2211968	18416	12436	14	AFR	2242819
