Haplotype	10-mer	14-mer	16-mer	18-mer	20-mer	26-mer	22-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG00358.pat	16980	42794	1582402	48959	20398	247499	33643	795802	11758	7	EUR	2800234
HG00512.pat	23774	166400	3830994	70398	10203	172366	26169	748349	21260	7	EAS	5069912
HG00731.mat	8483	59432	1925025	128544	30609	13249	0	238304	41583	1	AMR	2445228
HG00731.pat	5103	59456	1745628	48965	3402	17679	14958	51640	4079	6	AMR	1950909
HG00732.mat	18681	64190	1723791	24478	33988	331454	26169	877563	15326	7	AMR	3115639
HG00732.pat	11880	42785	1813536	110182	30602	17666	0	205174	31313	1	AMR	2263137
HG00864.mat	5098	76081	3403958	24483	30576	247440	14954	191198	46061	8	EAS	4039848
HG00864.pat	1701	85585	3246267	6121	16993	220902	14956	204988	38597	8	EAS	3836109
HG01099.pat	37407	199680	2392443	272412	84997	251863	3744	175909	62971	2	AMR	3481425
HG01106.mat	11875	49926	1903257	146906	23809	8831	3739	94089	45629	1	AMR	2288060
HG01109.pat	27199	121224	2221178	64262	23792	26520	29907	116852	26516	6	AMR	2657449
HG01243.pat	8480	35656	1460118	107128	20413	13250	7477	80170	17343	1	AMR	1750034
HG01352.mat	15266	71324	1859732	134658	27207	8831	3739	100203	58232	1	AMR	2279191
HG01352.pat	5088	49916	1587877	128550	40810	22084	0	154239	28060	1	AMR	2016623
HG01457.mat	8480	49922	1582424	131607	40810	17665	0	203131	39019	1	AMR	2073057
HG01457.pat	3397	52314	2577419	15295	37379	203247	22428	128149	53437	8	AMR	3093064
HG01505.mat	17006	142620	1723716	266291	64606	265117	3739	135300	19399	2	EUR	2637793
HG01505.pat	11875	57057	1786343	113225	23811	8831	3739	96480	45770	1	EUR	2147130
HG01573.mat	18675	66562	2033742	125479	37400	35333	0	220325	42768	1	AMR	2580283
HG01573.pat	13576	57050	1922298	153033	30608	17675	7481	78795	47445	1	AMR	2327960
HG01596.mat	1701	42793	2348970	30598	20395	172290	14948	142240	33999	8	EAS	2807933
HG01596.pat	15293	149770	2498657	67338	13597	137003	14957	586917	46369	7	EAS	3529900
HG01890.mat	16993	95110	2368049	42831	13596	44196	63540	249274	52446	5	AFR	2946034
HG01890.pat	13595	111729	2691730	45919	17007	39762	11221	113324	13586	4	AFR	3057872
HG01928.mat	15288	85579	1778145	58158	3399	176782	11216	693538	22284	7	AMR	2844388
HG01952.pat	5082	45162	1601459	131609	44209	26498	3742	162043	22487	1	AMR	2042290
HG01978.pat	6799	71340	3102046	39760	10189	260669	22434	257291	45698	8	AMR	3816225
HG02004.mat	3397	71336	3134676	33650	16979	247413	14954	251362	47574	8	AMR	3821340
HG02004.pat	3402	45166	2278376	42850	30555	309289	14954	188500	73776	8	AMR	2986867
HG02011.mat	10201	140275	2746099	39798	10205	48594	7480	109935	17998	4	AFR	3130584
HG02011.pat	27193	171126	2952504	42845	27187	39780	82178	177365	76063	6	AFR	3596240
HG02018.mat	32271	71334	2531302	45899	13599	176769	11211	732671	8679	7	EAS	3623734
HG02018.pat	1701	23775	1481761	12235	10203	150208	18691	81741	32910	8	EAS	1813224
HG02059.mat	28897	194908	2049881	165276	129198	304894	3738	150602	7480	2	EAS	3034873
HG02059.pat	3395	73728	3297798	18361	23784	318108	22433	187295	104064	8	EAS	4048965
HG02071.mat	15290	128380	2286574	45912	17001	207716	26173	946778	22279	7	EAS	3696102
HG02071.pat	33997	206788	2052617	195882	122400	251859	3738	147869	6462	2	EAS	3021611
HG02106.mat	27201	266216	2476754	269341	88403	296053	7480	165395	122585	2	AMR	3719427
HG02106.pat	11880	52301	1930456	125486	40802	17666	0	174422	31313	1	AMR	2384325
HG02109.mat	18679	61802	1938582	149966	23809	8831	3739	97481	39728	1	AFR	2342616
HG02257.pat	161484	142687	856356	281517	67958	35352	82261	172981	15153	3	AFR	1815748
HG02282.mat	175079	95120	978669	253950	112136	13264	86004	162747	8159	3	AFR	1885127
HG02282.pat	10174	30907	1710297	162214	10207	8834	3740	106311	13963	1	AFR	2056646
HG02293.mat	6803	28543	1710090	24471	3399	136951	14954	140573	24986	8	AMR	2090769
HG02300.mat	25503	202051	2115137	220374	37408	198831	3741	149581	125305	2	AMR	3077930
HG02492.mat	1701	35671	2468457	21411	23787	273931	3737	166386	35171	8	SAS	3030251
HG02492.pat	28896	104596	2819570	55109	10198	145852	14953	685219	29458	7	SAS	3893850
HG02554.mat	8480	35656	1495470	122417	23815	13250	7477	88317	14795	1	AFR	1809676
HG02554.pat	1697	57083	2291976	45910	37381	203260	11212	129900	33666	8	AFR	2812084
HG02559.pat	8480	33287	1392103	110163	13608	13247	7477	125690	11805	1	AFR	1715859
HG02572.mat	13580	42786	1783729	153023	13608	8835	3737	95105	14134	1	AFR	2128536
HG02587.mat	5088	33275	1120214	67325	6804	4416	7479	140631	22807	1	AFR	1408038
HG02587.pat	195474	99864	1071044	241685	78141	17668	56090	202847	20023	3	AFR	1982835
HG02615.mat	13600	116503	2803199	39791	17007	53007	3736	99380	17998	4	AFR	3164220
HG02615.pat	11899	147385	2944599	42856	20406	30924	18698	121159	283198	4	AFR	3621123
HG02630.mat	10198	126006	2593853	58156	17007	26507	7480	115543	21897	4	AFR	2976646
HG02647.mat	5099	173641	2096099	45897	6800	17676	37388	130685	66037	6	AFR	2579321
HG02647.pat	6800	166485	2139593	64255	6800	22094	52336	169597	76544	6	AFR	2704503
HG02666.mat	10201	140253	2993527	42856	23805	30924	14961	123194	283198	4	AFR	3662918
HG02666.pat	35683	154497	2175000	70383	20391	17682	33639	120279	29927	6	AFR	2657480
HG02717.mat	5098	45167	1905931	33663	30559	238596	18697	166915	41457	8	AFR	2486082
HG02769.mat	0	16659	1041364	9171	3402	101635	14961	46719	37497	8	AFR	1271407
HG02769.pat	28874	78440	2558582	67358	17006	48618	18686	321348	9695	7	AFR	3148606
HG02809.mat	32292	211567	3665006	257077	88368	247407	11207	230915	65449	6	AFR	4809287
HG02809.pat	576102	166411	1585197	61236	91815	30928	52352	315815	311281	6	AFR	3191136
HG02818.mat	39100	147398	3754647	201981	78182	441867	11210	302681	51861	6	AFR	5028926
HG02818.pat	35699	80810	2079786	55079	23789	22095	44847	180060	49199	6	AFR	2571363
HG02953.mat	1697	57083	2270215	45910	40776	194420	11212	129902	38936	8	AFR	2790150
HG02953.pat	11891	85582	2006425	24473	23792	44196	56059	201528	22587	5	AFR	2476532
HG03009.mat	1701	57049	1653036	15293	30555	318152	7477	96206	168726	8	SAS	2348194
HG03009.pat	8490	83210	2683463	15300	3391	247419	14951	162489	67764	8	SAS	3286476
HG03065.mat	15292	118879	2656215	58128	27191	44196	78484	276472	51948	5	AFR	3326804
HG03065.pat	40793	252000	5130467	351946	108779	569970	14947	418391	87191	6	AFR	6974483
HG03098.pat	164881	92728	965071	257008	112132	8844	97224	161041	7650	3	AFR	1866578
HG03248.mat	171676	130792	796520	275392	81550	26514	100957	144934	24159	3	AFR	1752493
HG03248.pat	6780	38037	1384007	119360	17010	17666	3740	85935	22440	1	AFR	1694974
HG03371.mat	168268	97482	850906	238636	125725	13260	78531	159151	8825	3	AFR	1740783
HG03371.pat	6796	33284	1840650	27549	16985	128134	3736	117977	35306	8	AFR	2210416
HG03452.mat	6791	76054	1223304	12243	6797	17680	29774	72214	34497	6	AFR	1479353
HG03452.pat	18683	102230	2501177	67318	37388	61872	52330	251829	28019	5	AFR	3120845
HG03453.mat	18683	102231	2476705	67318	37388	66292	52330	254039	28019	5	AFR	3103004
HG03453.pat	30595	199721	2762397	21417	37379	251836	52365	234527	65335	6	AFR	3655571
HG03456.mat	159771	104622	867210	244761	118928	8842	82268	176825	7650	3	AFR	1770876
HG03456.pat	11875	49929	1669480	143841	44230	13247	3740	145398	14134	1	AFR	2095873
HG03486.pat	197172	111738	1130877	299845	118938	17686	100961	185323	10540	3	AFR	2173079
HG03516.pat	214159	109357	1011281	269245	122333	13264	82272	159501	7650	3	AFR	1989061
HG03520.mat	0	42792	1495404	33661	40744	141398	14957	114575	28910	8	AFR	1912440
HG03520.pat	11872	42794	1495465	119353	27217	13247	3740	120256	307935	1	AFR	2141878
HG03579.mat	27188	95090	1198926	42835	37382	13260	59797	80688	18044	6	AFR	1573209
HG03683.mat	11879	57045	1900587	140783	23805	13249	7482	118565	20632	1	SAS	2294026
HG03683.pat	61206	173546	2378858	303006	91809	362333	18691	211087	14019	2	SAS	3614554
HG03710.mat	1701	61821	2756851	24476	3403	225327	48613	215635	40254	8	SAS	3378080
HG03710.pat	8488	38048	1280600	27538	0	61876	22426	194181	9189	7	SAS	1642345
HG03732.mat	13579	52302	1628619	36726	20399	269604	26169	758203	9189	7	SAS	2814789
HG03732.pat	27187	175904	4162672	61214	27188	172356	44856	710888	29964	7	SAS	5412228
HG03807.mat	37398	128400	1873072	18355	3399	13252	7472	103179	10542	6	SAS	2195068
HG03807.pat	1701	66569	2248455	33663	16986	256277	18696	142093	57160	8	SAS	2841599
HG03927.mat	25499	202053	2275570	290784	98603	282797	7481	174730	20726	2	SAS	3378242
HG03927.pat	6782	54680	1566120	100992	37406	13252	0	180049	26356	1	SAS	1985636
HG04036.mat	10201	83217	3257095	21419	6797	243004	14951	174885	28227	8	SAS	3839795
HG04036.pat	3402	33288	2313618	24468	6802	194408	37394	208311	39782	8	SAS	2861472
HG04217.mat	15271	33275	2001164	149971	54403	13251	7478	201780	23657	1	SAS	2500249
HG04217.pat	16980	49921	1500820	24478	37394	291678	14951	906137	15325	7	SAS	2857683
HG04228.mat	5100	54685	1843311	21414	6797	106035	7477	106396	525542	8	SAS	2676756
HG04228.pat	15292	164016	2873874	76508	23796	79550	11214	466705	38325	7	SAS	3749279
NA12329.mat	11888	40418	1576958	39775	23791	238653	26167	789462	9189	7	EUR	2756300
NA12329.pat	35655	130749	3113162	61206	13603	172350	14952	545955	21786	7	EUR	4109417
NA18534.mat	6795	45173	2294608	24475	3399	238590	14952	180806	38711	8	EAS	2847508
NA18534.pat	25480	95095	1900451	55088	10197	225385	14951	743238	21162	7	EAS	3091046
NA18906.mat	22097	92724	1984697	45887	6798	44191	37375	182136	57740	5	AFR	2473644
NA18906.pat	6784	88020	1451754	21427	3403	0	33636	124734	13440	6	AFR	1743197
NA18939.mat	5096	57073	2041794	24467	13587	172312	14957	165174	52002	8	EAS	2546461
NA18939.pat	1701	64197	2661771	30610	40740	313706	14954	201548	63631	8	EAS	3392857
NA18989.mat	40798	140243	1748047	183637	85002	225358	3740	120331	8798	2	EAS	2555953
NA18989.pat	15281	114093	3085979	70410	17002	207727	37385	698007	34709	7	EAS	4280592
NA19036.mat	98582	152106	2088033	45891	23788	8834	22432	133196	40663	6	AFR	2613524
NA19036.pat	1701	21399	1378478	9183	0	13256	0	38738	22070	8	AFR	1484824
NA19129.mat	11894	116487	2653671	45920	17007	35344	11221	113673	13586	4	AFR	3018802
NA19129.pat	15301	118853	2395360	58164	3398	66297	26161	375630	68660	7	AFR	3127823
NA19238.mat	13591	87963	2153266	36712	27191	44189	41109	212401	58745	5	AFR	2675166
NA19238.pat	18689	83206	2071692	36712	27194	53032	48584	184538	55667	5	AFR	2579313
NA19239.mat	3394	83215	2479543	48976	27196	198836	7473	186668	142237	8	AFR	3177537
NA19239.pat	28920	159289	2520475	70383	47589	26523	74792	256134	31696	6	AFR	3215800
NA19317.mat	25487	111711	2332859	52048	13595	110495	18681	777903	18388	7	AFR	3461166
NA19317.pat	6797	54678	2474052	33671	37363	207679	41140	144641	38523	8	AFR	3038543
NA19331.mat	169978	152201	812842	253978	81548	44193	100955	171456	15153	3	AFR	1802303
NA19331.pat	27190	121256	2158692	61191	47584	119301	11210	128807	26555	6	AFR	2701785
NA19347.mat	25487	111711	2321983	52048	13595	110495	18681	777903	18388	7	AFR	3450290
NA19347.pat	3401	99877	2463412	58158	3399	26514	26169	50119	15638	6	AFR	2746686
NA19384.mat	96880	149732	2117948	42835	23788	4417	26172	130479	36072	6	AFR	2628322
NA19384.pat	20396	95093	2297504	64271	0	79558	18689	496530	24773	7	AFR	3096813
NA19434.mat	27201	125994	2384381	67298	23784	57451	52316	143743	53645	5	AFR	2935812
NA19434.pat	32276	80817	2438925	70418	10206	48619	22426	335801	9695	7	AFR	3049182
NA19650.mat	11885	30911	1375734	39785	16999	176791	29906	541749	12437	7	AMR	2236196
NA19650.pat	23805	111735	2025481	244871	88390	357920	11223	126115	23112	2	AMR	3012651
NA19705.mat	13572	38032	1166475	67334	10202	8831	0	89341	10060	1	AFR	1403846
NA19705.pat	8500	166419	3461168	79585	23817	35343	7480	138999	20204	4	AFR	3941514
NA19836.mat	17003	216390	3036983	39778	44168	216512	71056	194742	65517	6	AFR	3902148
NA19836.pat	16998	104599	2305667	64272	0	83979	26162	517625	24772	7	AFR	3144073
NA19983.mat	27197	102199	1614926	42833	30589	13258	33645	116361	26852	6	AFR	2007859
NA19983.pat	27174	125974	2960902	58154	33994	203261	33656	633175	78167	7	AFR	4154456
NA20355.mat	0	38041	1541632	39775	44139	154652	11217	115422	32480	8	AFR	1977357
NA20355.pat	8480	38036	1492743	110183	20413	17669	3740	80853	12248	1	AFR	1784364
NA20509.mat	8488	54687	1536180	33664	6801	176786	26169	634741	4585	7	EUR	2482100
NA20509.pat	15277	57055	1661247	48957	20398	274015	26166	900008	9189	7	EUR	3012311
NA20847.mat	1701	61840	1585113	42850	10189	97219	7476	80566	29065	8	SAS	1916018
NA20847.pat	6792	68949	2444210	15300	3391	242977	14951	136998	32764	8	SAS	2966331
NA21487.mat	10195	49929	1840605	15297	13584	198828	18695	179837	47047	8	AFR	2374016
NA21487.pat	5100	28538	2310965	61215	10199	79537	14959	64212	18665	8	AFR	2593389
