Haplotype	4-mer	7-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
HG01175.mat	1253766	1482595	74788	35247	1	AMR	2846395
HG01243.mat	1831111	1800837	103721	57513	4	AMR	3793181
HG01352.mat	1257884	1308648	70819	54804	6	AMR	2692154
HG01352.pat	1964974	2126145	148856	48319	11	AMR	4288293
HG01358.mat	1127314	1188159	99953	41949	4	AMR	2457374
HG01358.pat	1522943	1622036	105949	33342	11	AMR	3284269
HG01361.pat	1499261	1565960	115447	48525	4	AMR	3229192
HG01505.mat	683961	781797	32356	24626	4	EUR	1522739
HG01505.pat	1242921	1266925	72687	57179	6	EUR	2639711
HG01573.mat	1219689	1180963	60636	484295	5	AMR	2945582
HG01573.pat	1548801	1806750	137948	30475	1	AMR	3523973
HG01596.mat	1363879	1400337	92651	28216	11	EAS	2885082
HG01596.pat	1334658	1401508	88901	24893	11	EAS	2849959
HG01890.mat	1257212	1393268	61942	29400	3	AFR	2741821
HG01890.pat	692767	804369	42543	54963	9	AFR	1594641
HG01928.mat	1470028	1436108	102011	39791	4	AMR	3047937
HG01952.mat	2026147	2234591	209985	77606	11	AMR	4548328
HG01952.pat	1003518	1117838	49032	39222	4	AMR	2209609
HG01978.pat	1947994	1998601	161429	36226	11	AMR	4144249
HG02004.mat	1759670	1749566	105588	47396	4	AMR	3662219
HG02004.pat	2154730	2131077	193985	76587	11	AMR	4556378
HG02011.mat	1100062	1316971	73979	28576	3	AFR	2519587
HG02011.pat	1380908	1411055	112571	41621	5	AFR	2946154
HG02018.mat	921985	1015393	67908	42891	6	EAS	2048176
HG02018.pat	1331301	1334792	85302	37351	4	EAS	2788745
HG02055.pat	1038909	1066546	55868	25379	12	AFR	2186701
HG02059.mat	1238145	1341937	77464	31824	6	EAS	2689369
HG02059.pat	1269967	1475503	84154	30869	3	EAS	2860492
HG02071.mat	1348257	1457576	89368	46122	6	EAS	2941322
HG02071.pat	1590337	1803149	118540	15296	1	EAS	3527321
HG02080.mat	1211645	1321654	90072	34470	4	EAS	2657840
HG02080.pat	1299309	1533805	85985	28074	1	EAS	2947172
HG02106.mat	1652829	1743613	128100	60157	11	AMR	3584698
HG02106.pat	1621676	1662571	57703	76076	6	AMR	3418025
HG02109.mat	647266	799599	55844	19071	4	AFR	1521779
HG02145.pat	560886	641120	37296	25073	4	AFR	1264374
HG02148.mat	1017871	1120265	94500	32735	4	AMR	2265370
HG02257.mat	1223148	1263234	75455	37766	5	AFR	2599602
HG02282.mat	1526372	1592233	75767	46270	5	AFR	3240641
HG02282.pat	843690	1096323	69091	27917	10	AFR	2037020
HG02293.mat	443972	548120	45654	29029	4	AMR	1066774
HG02293.pat	1587550	1440793	66257	30408	5	AMR	3125007
HG02300.mat	2389955	2494460	192271	59734	11	AMR	5136419
HG02300.pat	2127398	2265598	158865	49522	11	AMR	4601382
HG02486.pat	559485	809020	53914	34703	7	AFR	1457121
HG02492.mat	1042359	1147661	71702	33683	4	SAS	2295404
HG02492.pat	1908514	2078445	147467	42617	11	SAS	4177042
HG02554.mat	974953	1088013	52067	43908	9	AFR	2158940
HG02554.pat	1083708	1129733	75099	28459	5	AFR	2316998
HG02559.mat	983705	1191659	78783	30963	10	AFR	2285109
HG02559.pat	1221805	1222759	85789	102599	8	AFR	2632951
HG02572.pat	1077025	1165592	69460	26785	4	AFR	2338861
HG02587.mat	1053189	1289439	66102	23037	2	AFR	2431766
HG02587.pat	2009247	2291950	87043	44118	3	AFR	4432357
HG02615.pat	654023	890067	94584	35716	7	AFR	1674389
HG02622.mat	1231981	1534965	68947	62795	12	AFR	2898687
HG02630.mat	1105503	1127376	60806	40517	5	AFR	2334201
HG02630.pat	1149071	1291737	85826	27906	2	AFR	2554539
HG02647.mat	1391148	1643572	80917	40692	3	AFR	3156328
HG02647.pat	678492	819854	46645	40164	9	AFR	1585154
HG02666.mat	1414803	1326361	77790	21185	5	AFR	2840138
HG02666.pat	916401	1097485	82868	32500	10	AFR	2129253
HG02717.mat	1433927	1550418	161748	64867	4	AFR	3210959
HG02769.mat	1601832	1525499	77306	42369	5	AFR	3247005
HG02769.pat	1629093	1668535	78138	40989	5	AFR	3416754
HG02809.mat	843693	1077258	66177	24944	10	AFR	2012071
HG02809.pat	703658	884214	76319	22041	5	AFR	1686231
HG02818.mat	1145641	1451728	67535	39294	3	AFR	2704197
HG02818.pat	679845	810271	44407	51063	9	AFR	1585585
HG02886.pat	1092556	1122612	77796	117519	8	AFR	2410482
HG02953.mat	386157	482613	14964	12074	10	AFR	895807
HG02953.pat	1262599	1262073	61150	33693	5	AFR	2619514
HG03009.mat	1251739	1355033	90750	32162	4	SAS	2729683
HG03009.pat	2262802	2567034	249082	45426	11	SAS	5124343
HG03098.pat	1582906	1655303	39828	50901	12	AFR	3328937
HG03248.mat	1266658	1366924	75928	35205	5	AFR	2744714
HG03248.pat	1176295	1519458	49460	26587	2	AFR	2771799
HG03371.mat	1077625	1306241	74498	31284	3	AFR	2489647
HG03371.pat	810409	927198	55805	12918	10	AFR	1806329
HG03452.mat	991934	1036791	85114	81968	8	AFR	2195806
HG03452.pat	927332	1023634	86355	44994	5	AFR	2082314
HG03456.mat	1297285	1535031	72581	32696	1	AFR	2937592
HG03456.pat	1270756	1415746	117489	39649	12	AFR	2843639
HG03486.mat	1077514	1160826	105734	79001	8	AFR	2423074
HG03486.pat	859425	1162013	25497	42714	3	AFR	2089648
HG03492.mat	1256498	1359801	65011	44079	6	SAS	2725388
HG03492.pat	1317020	1381247	128720	51479	4	SAS	2878465
HG03516.mat	779769	1035490	142684	37266	4	AFR	1995208
HG03516.pat	1623662	1967592	80786	34439	2	AFR	3706478
HG03520.mat	1391160	1598192	62914	28395	3	AFR	3080660
HG03520.pat	1034174	1201355	47433	9886	3	AFR	2292847
HG03540.mat	1240797	1283489	82095	29631	5	AFR	2636011
HG03579.mat	624099	748308	49859	48508	9	AFR	1470773
HG03683.mat	1861581	2037897	148659	45336	11	SAS	4093472
HG03683.pat	1338595	1643193	182579	220904	12	SAS	3385270
HG03710.mat	1465210	1737609	113238	45264	1	SAS	3361320
HG03710.pat	1287756	1505201	85303	29950	1	SAS	2908209
HG03807.mat	1700425	1893699	150039	49698	11	SAS	3793860
HG03807.pat	1576759	1678016	147677	9187	11	SAS	3411638
HG03927.mat	2287349	2363290	67242	80497	6	SAS	4798377
HG03927.pat	1907820	2076054	153597	47545	11	SAS	4185015
HG04036.mat	1884111	1958078	66209	336720	6	SAS	4245117
HG04036.pat	828791	912827	96892	44081	4	SAS	1882590
HG04217.mat	803607	972393	61631	31814	6	SAS	1869444
HG04217.pat	1486307	1662527	90448	21271	11	SAS	3260552
HG04228.mat	1260553	1477798	75750	25882	1	SAS	2839982
NA12329.mat	1508082	1550525	72348	67395	6	EUR	3198349
NA12329.pat	1567833	1823575	100993	26239	3	EUR	3518639
NA18534.mat	1248435	1258663	26397	58721	6	EAS	2592215
NA18534.pat	1358485	1633924	94754	35201	1	EAS	3122363
NA18939.mat	1922797	2241655	204699	40795	11	EAS	4409945
NA18939.pat	1644077	1977127	104969	32479	1	EAS	3758651
NA18989.mat	1374745	1583921	63622	31417	3	EAS	3053704
NA18989.pat	1149013	1154732	76985	42298	5	EAS	2423027
NA19036.mat	1393744	1385947	122967	60254	12	AFR	2962911
NA19036.pat	2150643	2188222	70659	51492	5	AFR	4461015
NA19129.mat	677121	907950	89843	42570	7	AFR	1717483
NA19129.pat	676436	927010	89863	47295	7	AFR	1740603
NA19238.mat	1219780	1358600	75099	37105	1	AFR	2690583
NA19238.pat	1499280	1506440	47666	34533	12	AFR	3087918
NA19239.mat	729490	868706	73213	53783	9	AFR	1725191
NA19239.pat	1761716	2053538	80443	42431	3	AFR	3938127
NA19317.mat	1797091	1737641	72325	54588	12	AFR	3661644
NA19317.pat	1225221	1358595	79999	27737	12	AFR	2691551
NA19331.mat	1222463	1210788	79729	32514	5	AFR	2545493
NA19347.mat	1212228	1250079	77833	33358	5	AFR	2573497
NA19347.pat	1526418	1871066	83165	29675	2	AFR	3510323
NA19384.mat	917876	1158319	60491	21859	2	AFR	2158544
NA19384.pat	804291	936640	64696	57017	9	AFR	1862643
NA19434.mat	1612090	1950929	80102	34434	2	AFR	3677554
NA19434.pat	2091457	2061789	178249	96323	4	AFR	4427817
NA19650.mat	1128647	1215598	49727	38447	4	AMR	2432418
NA19650.pat	1534571	1583897	140697	62063	11	AMR	3321227
NA19705.mat	840285	1072457	159703	41009	4	AFR	2113453
NA19705.pat	700253	842491	52258	42719	9	AFR	1637720
NA19836.mat	1484927	1742365	75117	37891	1	AFR	3340299
NA19836.pat	619325	836421	89678	199414	7	AFR	1744837
NA19983.mat	2371693	2442015	113049	36409	12	AFR	4963165
NA19983.pat	832914	1036887	44717	9717	3	AFR	1924234
NA20129.mat	1387020	1545661	167166	61200	4	AFR	3161046
NA20355.mat	1203432	1204890	86453	107879	8	AFR	2602653
NA20355.pat	1191900	1456470	67004	638628	3	AFR	3354001
NA20509.mat	845792	929507	90596	38636	4	EUR	1904530
NA20509.pat	1374803	1458765	68090	59552	6	EUR	2961209
NA20847.mat	1807194	1960453	135028	44913	11	SAS	3947587
NA20847.pat	1591601	1823309	98957	34206	11	SAS	3548072
NA21309.pat	1023991	1308454	57149	19632	2	AFR	2409225
NA21487.mat	1294584	1389578	115240	45978	4	AFR	2845379
NA21487.pat	1944623	1897334	78307	61436	12	AFR	3981699
